# Structural comparison of el/userGuide.t2t against el/userGuide-newRevisions/12328/userGuide.t2t
en 3. start:69 paragraphs:6, tables:0, lists:0
el 3. start:67 paragraphs:6, tables:0, lists:0
en 3.1. start:88 paragraphs:1, tables:0, lists:1
el 3.1. start:86 paragraphs:1, tables:0, lists:1
en 3.2. start:96 paragraphs:2, tables:0, lists:0
el 3.2. start:94 paragraphs:2, tables:0, lists:0
en 3.2.1. start:106 paragraphs:1, tables:0, lists:0
el 3.2.1. start:104 paragraphs:1, tables:0, lists:0
en 3.2.2. start:110 paragraphs:1, tables:0, lists:0
el 3.2.2. start:108 paragraphs:1, tables:0, lists:0
en 3.2.3. start:114 paragraphs:1, tables:0, lists:0
el 3.2.3. start:112 paragraphs:1, tables:0, lists:0
en 3.3. start:119 paragraphs:2, tables:0, lists:0
el 3.3. start:117 paragraphs:2, tables:0, lists:0
en 4. start:131 paragraphs:0, tables:0, lists:0
el 4. start:129 paragraphs:0, tables:0, lists:0
en 4.1. start:133 paragraphs:5, tables:0, lists:0
el 4.1. start:131 paragraphs:5, tables:0, lists:0
en 4.2. start:154 paragraphs:0, tables:0, lists:0
el 4.2. start:152 paragraphs:0, tables:0, lists:0
en 4.2.1. start:156 paragraphs:3, tables:0, lists:0
el 4.2.1. start:154 paragraphs:3, tables:0, lists:0
en 4.2.2. start:165 paragraphs:2, tables:0, lists:0
el 4.2.2. start:162 paragraphs:2, tables:0, lists:0
en 4.3. start:173 paragraphs:1, tables:0, lists:0
el 4.3. start:169 paragraphs:1, tables:0, lists:0
en 4.3.1. start:178 paragraphs:1, tables:0, lists:0
el 4.3.1. start:174 paragraphs:1, tables:0, lists:0
en 4.3.2. start:183 paragraphs:7, tables:0, lists:0
el 4.3.2. start:179 paragraphs:7, tables:0, lists:0
en 4.3.3. start:206 paragraphs:2, tables:0, lists:0
el 4.3.3. start:202 paragraphs:1, tables:0, lists:0
en 4.4. start:217 paragraphs:2, tables:0, lists:0
el 4.4. start:212 paragraphs:2, tables:0, lists:0
en 4.5. start:225 paragraphs:2, tables:0, lists:0
el 4.5. start:220 paragraphs:2, tables:0, lists:0
en 4.6. start:233 paragraphs:0, tables:1, lists:0
el 4.6. start:228 paragraphs:0, tables:1, lists:0
en 4.7. start:246 paragraphs:0, tables:1, lists:0
el 4.7. start:241 paragraphs:0, tables:1, lists:0
en 5. start:254 paragraphs:1, tables:0, lists:0
el 5. start:248 paragraphs:1, tables:0, lists:0
en 5.1. start:257 paragraphs:1, tables:0, lists:0
el 5.1. start:251 paragraphs:1, tables:0, lists:0
en 5.2. start:261 paragraphs:3, tables:1, lists:0
el 5.2. start:255 paragraphs:3, tables:1, lists:0
en 5.3. start:277 paragraphs:4, tables:2, lists:0
el 5.3. start:271 paragraphs:4, tables:2, lists:0
en 5.4. start:302 paragraphs:7, tables:1, lists:0
el 5.4. start:296 paragraphs:7, tables:1, lists:0
en 5.5. start:344 paragraphs:6, tables:2, lists:0
el 5.5. start:338 paragraphs:6, tables:2, lists:0
en 5.6. start:386 paragraphs:2, tables:1, lists:0
el 5.6. start:380 paragraphs:2, tables:1, lists:0
en 5.6.1. start:397 paragraphs:1, tables:0, lists:0
el 5.6.1. start:391 paragraphs:1, tables:0, lists:0
en 5.6.2. start:402 paragraphs:3, tables:0, lists:0
el 5.6.2. start:395 paragraphs:2, tables:0, lists:0
en 5.6.3. start:411 paragraphs:3, tables:0, lists:0
el 5.6.3. start:402 paragraphs:3, tables:0, lists:0
en 5.7. start:420 paragraphs:5, tables:1, lists:0
el 5.7. start:411 paragraphs:5, tables:1, lists:0
en 6. start:445 paragraphs:3, tables:1, lists:0
el 6. start:436 paragraphs:3, tables:1, lists:0
en 6.1. start:475 paragraphs:4, tables:1, lists:1
el 6.1. start:466 paragraphs:3, tables:1, lists:1
en 6.2. start:516 paragraphs:1, tables:1, lists:0
el 6.2. start:501 paragraphs:1, tables:1, lists:0
en 6.3. start:527 paragraphs:1, tables:1, lists:0
el 6.3. start:512 paragraphs:1, tables:1, lists:0
en 7. start:538 paragraphs:3, tables:0, lists:1
el 7. start:523 paragraphs:3, tables:0, lists:1
en 7.1. start:552 paragraphs:5, tables:1, lists:1
el 7.1. start:537 paragraphs:5, tables:1, lists:1
en 8. start:574 paragraphs:1, tables:0, lists:0
el 8. start:559 paragraphs:1, tables:0, lists:0
en 8.1. start:577 paragraphs:0, tables:0, lists:0
el 8.1. start:562 paragraphs:1, tables:1, lists:0
en 8.1.1. start:579 paragraphs:2, tables:1, lists:0
en 8.1.2. start:592 paragraphs:1, tables:0, lists:0
en 8.1.2.1. start:599 paragraphs:1, tables:0, lists:0
en 8.1.3. start:605 paragraphs:1, tables:0, lists:0
en 8.2. start:611 paragraphs:0, tables:0, lists:0
el 8.2. start:570 paragraphs:0, tables:1, lists:0
en 8.2.1. start:613 paragraphs:2, tables:1, lists:0
en 8.2.2. start:626 paragraphs:1, tables:0, lists:1
en 8.2.3. start:648 paragraphs:1, tables:0, lists:0
en 8.2.4. start:654 paragraphs:1, tables:0, lists:0
en 8.2.5. start:660 paragraphs:1, tables:0, lists:0
