# Structural comparison of ca/userGuide.t2t against ca/userGuide-newRevisions/10204/userGuide.t2t
en 1.1. start:15 paragraphs:2, tables:0, lists:1
ca 1.1. start:15 paragraphs:3, tables:0, lists:1
en 1.2. start:33 paragraphs:1, tables:0, lists:0
ca 1.2. start:34 paragraphs:1, tables:0, lists:0
en 1.3. start:37 paragraphs:3, tables:0, lists:0
ca 1.3. start:38 paragraphs:3, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
ca 1.4. start:45 paragraphs:2, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
ca 1.5. start:51 paragraphs:2, tables:0, lists:0
en 2. start:58 paragraphs:0, tables:0, lists:1
ca 2. start:59 paragraphs:0, tables:0, lists:1
en 3. start:67 paragraphs:6, tables:0, lists:0
ca 3. start:68 paragraphs:6, tables:0, lists:0
en 3.1. start:86 paragraphs:1, tables:0, lists:1
ca 3.1. start:87 paragraphs:1, tables:0, lists:1
en 3.2. start:94 paragraphs:2, tables:0, lists:0
ca 3.2. start:95 paragraphs:2, tables:0, lists:0
en 3.2.1. start:104 paragraphs:1, tables:0, lists:0
ca 3.2.1. start:105 paragraphs:1, tables:0, lists:0
en 3.2.2. start:108 paragraphs:1, tables:0, lists:0
ca 3.2.2. start:109 paragraphs:1, tables:0, lists:0
en 3.2.3. start:112 paragraphs:1, tables:0, lists:0
ca 3.2.3. start:113 paragraphs:1, tables:0, lists:0
en 3.3. start:117 paragraphs:2, tables:0, lists:0
ca 3.3. start:118 paragraphs:2, tables:0, lists:0
en 4. start:129 paragraphs:0, tables:0, lists:0
ca 4. start:130 paragraphs:0, tables:0, lists:0
en 4.1. start:131 paragraphs:5, tables:0, lists:0
ca 4.1. start:132 paragraphs:6, tables:0, lists:0
en 4.2. start:151 paragraphs:0, tables:0, lists:0
ca 4.2. start:154 paragraphs:0, tables:0, lists:0
en 4.2.1. start:153 paragraphs:4, tables:0, lists:0
ca 4.2.1. start:156 paragraphs:4, tables:0, lists:0
en 4.2.2. start:163 paragraphs:2, tables:0, lists:0
ca 4.2.2. start:166 paragraphs:2, tables:0, lists:0
en 4.3. start:172 paragraphs:1, tables:0, lists:0
ca 4.3. start:174 paragraphs:1, tables:0, lists:0
en 4.3.1. start:177 paragraphs:1, tables:0, lists:0
ca 4.3.1. start:179 paragraphs:1, tables:0, lists:0
en 4.3.2. start:182 paragraphs:7, tables:0, lists:0
ca 4.3.2. start:184 paragraphs:7, tables:0, lists:0
en 4.3.3. start:205 paragraphs:2, tables:0, lists:0
ca 4.3.3. start:207 paragraphs:2, tables:0, lists:0
en 4.4. start:216 paragraphs:2, tables:0, lists:0
ca 4.4. start:218 paragraphs:2, tables:0, lists:0
en 4.5. start:224 paragraphs:2, tables:0, lists:0
ca 4.5. start:226 paragraphs:2, tables:0, lists:0
en 4.6. start:232 paragraphs:0, tables:1, lists:0
ca 4.6. start:234 paragraphs:0, tables:1, lists:0
en 4.7. start:245 paragraphs:0, tables:1, lists:0
ca 4.7. start:247 paragraphs:0, tables:1, lists:0
en 5. start:253 paragraphs:1, tables:0, lists:0
ca 5. start:255 paragraphs:1, tables:0, lists:0
en 5.1. start:256 paragraphs:1, tables:0, lists:0
ca 5.1. start:258 paragraphs:1, tables:0, lists:0
en 5.2. start:260 paragraphs:3, tables:1, lists:0
ca 5.2. start:262 paragraphs:3, tables:1, lists:0
en 5.3. start:276 paragraphs:4, tables:2, lists:0
ca 5.3. start:278 paragraphs:4, tables:2, lists:0
en 5.4. start:299 paragraphs:7, tables:1, lists:0
ca 5.4. start:301 paragraphs:7, tables:1, lists:0
en 5.5. start:341 paragraphs:6, tables:2, lists:0
ca 5.5. start:343 paragraphs:6, tables:2, lists:0
en 5.6. start:383 paragraphs:2, tables:1, lists:0
ca 5.6. start:385 paragraphs:2, tables:1, lists:0
en 5.6.1. start:394 paragraphs:1, tables:0, lists:0
ca 5.6.1. start:396 paragraphs:1, tables:0, lists:0
en 5.6.2. start:399 paragraphs:3, tables:0, lists:0
ca 5.6.2. start:401 paragraphs:3, tables:0, lists:0
en 5.6.3. start:408 paragraphs:3, tables:0, lists:0
ca 5.6.3. start:410 paragraphs:3, tables:0, lists:0
en 5.7. start:417 paragraphs:5, tables:1, lists:0
ca 5.7. start:419 paragraphs:5, tables:1, lists:0
en 6. start:442 paragraphs:3, tables:1, lists:0
ca 6. start:444 paragraphs:3, tables:1, lists:0
en 6.1. start:471 paragraphs:3, tables:1, lists:1
ca 6.1. start:473 paragraphs:3, tables:1, lists:1
en 6.2. start:504 paragraphs:1, tables:1, lists:0
ca 6.2. start:506 paragraphs:1, tables:1, lists:0
en 6.3. start:514 paragraphs:1, tables:1, lists:0
ca 6.3. start:516 paragraphs:1, tables:1, lists:0
en 7. start:525 paragraphs:1, tables:0, lists:0
ca 7. start:527 paragraphs:1, tables:0, lists:0
en 7.1. start:528 paragraphs:0, tables:1, lists:0
ca 7.1. start:530 paragraphs:0, tables:1, lists:0
en 7.2. start:536 paragraphs:0, tables:1, lists:0
ca 7.2. start:538 paragraphs:0, tables:1, lists:0
en 7.3. start:544 paragraphs:0, tables:1, lists:0
ca 7.3. start:546 paragraphs:0, tables:1, lists:0
en 7.4. start:550 paragraphs:1, tables:1, lists:0
ca 7.4. start:552 paragraphs:1, tables:1, lists:0
en 7.5. start:558 paragraphs:0, tables:1, lists:0
ca 7.5. start:560 paragraphs:0, tables:1, lists:0
en 7.6. start:564 paragraphs:0, tables:1, lists:0
ca 7.6. start:566 paragraphs:0, tables:1, lists:0
en 8. start:571 paragraphs:0, tables:0, lists:0
ca 8. start:573 paragraphs:0, tables:0, lists:0
en 8.1. start:573 paragraphs:1, tables:0, lists:0
ca 8.1. start:575 paragraphs:1, tables:0, lists:0
en 8.1.1. start:580 paragraphs:11, tables:0, lists:0
ca 8.1.1. start:582 paragraphs:11, tables:0, lists:0
en 8.1.2. start:625 paragraphs:5, tables:0, lists:0
ca 8.1.2. start:628 paragraphs:5, tables:0, lists:0
en 8.1.3. start:641 paragraphs:17, tables:0, lists:0
ca 8.1.3. start:644 paragraphs:17, tables:0, lists:0
en 8.1.4. start:711 paragraphs:1, tables:1, lists:0
ca 8.1.4. start:715 paragraphs:1, tables:1, lists:0
en 8.1.5. start:721 paragraphs:17, tables:0, lists:0
ca 8.1.5. start:725 paragraphs:17, tables:0, lists:0
en 8.1.6. start:783 paragraphs:17, tables:0, lists:0
ca 8.1.6. start:787 paragraphs:17, tables:0, lists:0
en 8.1.7. start:839 paragraphs:8, tables:0, lists:0
ca 8.1.7. start:843 paragraphs:8, tables:0, lists:0
en 8.1.8. start:867 paragraphs:7, tables:0, lists:0
ca 8.1.8. start:871 paragraphs:7, tables:0, lists:0
en 8.1.9. start:889 paragraphs:14, tables:0, lists:1
