# Structural comparison of ko/userGuide.t2t against ko/userGuide-newRevisions/13531/userGuide.t2t
en 1. start:10 paragraphs:1, tables:0, lists:0
ko 1. start:10 paragraphs:2, tables:0, lists:0
en 1.1. start:15 paragraphs:2, tables:0, lists:1
ko 1.1. start:17 paragraphs:2, tables:0, lists:1
en 1.2. start:33 paragraphs:1, tables:0, lists:0
ko 1.2. start:35 paragraphs:1, tables:0, lists:0
en 1.3. start:37 paragraphs:3, tables:0, lists:0
ko 1.3. start:39 paragraphs:3, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
ko 1.4. start:46 paragraphs:2, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
ko 1.5. start:52 paragraphs:2, tables:0, lists:0
en 2. start:58 paragraphs:0, tables:0, lists:1
ko 2. start:60 paragraphs:0, tables:0, lists:1
en 3. start:69 paragraphs:6, tables:0, lists:0
ko 3. start:71 paragraphs:6, tables:0, lists:0
en 3.1. start:88 paragraphs:1, tables:0, lists:1
ko 3.1. start:90 paragraphs:1, tables:0, lists:1
en 3.2. start:97 paragraphs:2, tables:0, lists:0
ko 3.2. start:99 paragraphs:2, tables:0, lists:0
en 3.2.1. start:107 paragraphs:1, tables:0, lists:0
ko 3.2.1. start:109 paragraphs:1, tables:0, lists:0
en 3.2.2. start:111 paragraphs:1, tables:0, lists:0
ko 3.2.2. start:113 paragraphs:1, tables:0, lists:0
en 3.2.3. start:115 paragraphs:1, tables:0, lists:0
ko 3.2.3. start:117 paragraphs:1, tables:0, lists:0
en 3.3. start:120 paragraphs:2, tables:0, lists:0
ko 3.3. start:122 paragraphs:2, tables:0, lists:0
en 4. start:132 paragraphs:0, tables:0, lists:0
ko 4. start:134 paragraphs:0, tables:0, lists:0
en 4.1. start:134 paragraphs:5, tables:0, lists:0
ko 4.1. start:136 paragraphs:6, tables:0, lists:0
en 4.2. start:156 paragraphs:0, tables:0, lists:0
ko 4.2. start:162 paragraphs:0, tables:0, lists:0
en 4.2.1. start:158 paragraphs:3, tables:0, lists:0
ko 4.2.1. start:164 paragraphs:3, tables:0, lists:0
en 4.2.2. start:167 paragraphs:2, tables:0, lists:0
ko 4.2.2. start:173 paragraphs:2, tables:0, lists:0
en 4.3. start:175 paragraphs:1, tables:0, lists:0
