# Structural comparison of pt_PT/userGuide.t2t against pt_PT/userGuide-newRevisions/10500/userGuide.t2t
en 1. start:10 paragraphs:1, tables:0, lists:0
pt_PT 1. start:9 paragraphs:1, tables:0, lists:0
en 1.1. start:15 paragraphs:2, tables:0, lists:1
pt_PT 1.1. start:14 paragraphs:2, tables:0, lists:1
en 1.2. start:33 paragraphs:1, tables:0, lists:0
pt_PT 1.2. start:32 paragraphs:1, tables:0, lists:0
en 1.3. start:37 paragraphs:3, tables:0, lists:0
pt_PT 1.3. start:36 paragraphs:3, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
pt_PT 1.4. start:43 paragraphs:2, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
pt_PT 1.5. start:49 paragraphs:2, tables:0, lists:0
en 2. start:58 paragraphs:0, tables:0, lists:1
pt_PT 2. start:57 paragraphs:0, tables:0, lists:1
en 3. start:67 paragraphs:6, tables:0, lists:0
pt_PT 3. start:66 paragraphs:6, tables:0, lists:0
en 3.1. start:86 paragraphs:1, tables:0, lists:1
pt_PT 3.1. start:85 paragraphs:1, tables:0, lists:1
en 3.2. start:94 paragraphs:2, tables:0, lists:0
pt_PT 3.2. start:93 paragraphs:1, tables:0, lists:0
en 3.2.1. start:104 paragraphs:1, tables:0, lists:0
pt_PT 3.2.1. start:102 paragraphs:1, tables:0, lists:0
en 3.2.2. start:108 paragraphs:1, tables:0, lists:0
pt_PT 3.2.2. start:106 paragraphs:1, tables:0, lists:0
en 3.2.3. start:112 paragraphs:1, tables:0, lists:0
pt_PT 3.2.3. start:110 paragraphs:1, tables:0, lists:0
en 3.3. start:117 paragraphs:2, tables:0, lists:0
pt_PT 3.3. start:115 paragraphs:2, tables:0, lists:0
en 4. start:129 paragraphs:0, tables:0, lists:0
pt_PT 4. start:126 paragraphs:0, tables:0, lists:0
en 4.1. start:131 paragraphs:5, tables:0, lists:0
pt_PT 4.1. start:128 paragraphs:5, tables:0, lists:0
en 4.2. start:152 paragraphs:0, tables:0, lists:0
pt_PT 4.2. start:149 paragraphs:0, tables:0, lists:0
en 4.2.1. start:154 paragraphs:3, tables:0, lists:0
pt_PT 4.2.1. start:151 paragraphs:4, tables:0, lists:0
en 4.2.2. start:163 paragraphs:2, tables:0, lists:0
pt_PT 4.2.2. start:161 paragraphs:2, tables:0, lists:0
en 4.3. start:171 paragraphs:1, tables:0, lists:0
pt_PT 4.3. start:169 paragraphs:1, tables:0, lists:0
en 4.3.1. start:176 paragraphs:1, tables:0, lists:0
pt_PT 4.3.1. start:174 paragraphs:1, tables:0, lists:0
en 4.3.2. start:181 paragraphs:7, tables:0, lists:0
pt_PT 4.3.2. start:180 paragraphs:7, tables:0, lists:0
en 4.3.3. start:204 paragraphs:2, tables:0, lists:0
pt_PT 4.3.3. start:202 paragraphs:2, tables:0, lists:0
en 4.4. start:215 paragraphs:2, tables:0, lists:0
pt_PT 4.4. start:213 paragraphs:2, tables:0, lists:0
en 4.5. start:223 paragraphs:2, tables:0, lists:0
pt_PT 4.5. start:221 paragraphs:2, tables:0, lists:0
en 4.6. start:231 paragraphs:0, tables:1, lists:0
pt_PT 4.6. start:229 paragraphs:0, tables:1, lists:0
en 4.7. start:244 paragraphs:0, tables:1, lists:0
pt_PT 4.7. start:242 paragraphs:0, tables:1, lists:0
en 5. start:252 paragraphs:1, tables:0, lists:0
pt_PT 5. start:250 paragraphs:1, tables:0, lists:0
en 5.1. start:255 paragraphs:1, tables:0, lists:0
pt_PT 5.1. start:253 paragraphs:1, tables:0, lists:0
en 5.2. start:259 paragraphs:3, tables:1, lists:0
pt_PT 5.2. start:257 paragraphs:3, tables:1, lists:0
en 5.3. start:275 paragraphs:4, tables:2, lists:0
pt_PT 5.3. start:273 paragraphs:4, tables:2, lists:0
en 5.4. start:298 paragraphs:7, tables:1, lists:0
pt_PT 5.4. start:295 paragraphs:7, tables:1, lists:0
en 5.5. start:340 paragraphs:6, tables:2, lists:0
pt_PT 5.5. start:336 paragraphs:6, tables:2, lists:0
en 5.6. start:382 paragraphs:2, tables:1, lists:0
pt_PT 5.6. start:378 paragraphs:2, tables:1, lists:0
en 5.6.1. start:393 paragraphs:1, tables:0, lists:0
pt_PT 5.6.1. start:388 paragraphs:1, tables:0, lists:0
en 5.6.2. start:398 paragraphs:3, tables:0, lists:0
pt_PT 5.6.2. start:393 paragraphs:4, tables:0, lists:0
en 5.6.3. start:407 paragraphs:3, tables:0, lists:0
pt_PT 5.6.3. start:403 paragraphs:3, tables:0, lists:0
en 5.7. start:416 paragraphs:5, tables:1, lists:0
pt_PT 5.7. start:412 paragraphs:5, tables:1, lists:0
en 6. start:441 paragraphs:3, tables:1, lists:0
pt_PT 6. start:437 paragraphs:3, tables:1, lists:0
en 6.1. start:470 paragraphs:3, tables:1, lists:1
pt_PT 6.1. start:465 paragraphs:3, tables:1, lists:1
en 6.2. start:503 paragraphs:1, tables:1, lists:0
pt_PT 6.2. start:499 paragraphs:1, tables:1, lists:0
en 6.3. start:513 paragraphs:1, tables:1, lists:0
pt_PT 6.3. start:509 paragraphs:1, tables:1, lists:0
en 7. start:524 paragraphs:1, tables:0, lists:0
pt_PT 7. start:520 paragraphs:1, tables:0, lists:0
en 7.1. start:527 paragraphs:0, tables:1, lists:0
pt_PT 7.1. start:523 paragraphs:0, tables:1, lists:0
en 7.2. start:535 paragraphs:0, tables:1, lists:0
pt_PT 7.2. start:531 paragraphs:0, tables:1, lists:0
en 7.3. start:543 paragraphs:0, tables:1, lists:0
pt_PT 7.3. start:539 paragraphs:0, tables:1, lists:0
en 7.4. start:549 paragraphs:1, tables:1, lists:0
pt_PT 7.4. start:546 paragraphs:1, tables:1, lists:0
en 7.5. start:557 paragraphs:0, tables:1, lists:0
pt_PT 7.5. start:554 paragraphs:0, tables:1, lists:0
en 7.6. start:563 paragraphs:0, tables:1, lists:0
pt_PT 7.6. start:560 paragraphs:0, tables:1, lists:0
en 8. start:570 paragraphs:0, tables:0, lists:0
