en 3.1. start:84 paragraphs:2, tables:0, lists:0
pt_PT 3.1. start:84 paragraphs:1, tables:0, lists:0
en 3.1.1. start:94 paragraphs:1, tables:0, lists:0
pt_PT 3.1.1. start:93 paragraphs:1, tables:0, lists:0
en 3.1.2. start:98 paragraphs:1, tables:0, lists:0
pt_PT 3.1.2. start:97 paragraphs:1, tables:0, lists:0
en 3.1.3. start:102 paragraphs:1, tables:0, lists:0
pt_PT 3.1.3. start:101 paragraphs:1, tables:0, lists:0
en 3.2. start:107 paragraphs:2, tables:0, lists:0
pt_PT 3.2. start:106 paragraphs:2, tables:0, lists:0
en 4. start:119 paragraphs:0, tables:0, lists:0
pt_PT 4. start:117 paragraphs:0, tables:0, lists:0
en 4.1. start:121 paragraphs:5, tables:0, lists:0
pt_PT 4.1. start:119 paragraphs:5, tables:0, lists:0
en 4.2. start:139 paragraphs:0, tables:0, lists:0
pt_PT 4.2. start:137 paragraphs:0, tables:0, lists:0
en 4.2.1. start:141 paragraphs:4, tables:0, lists:0
pt_PT 4.2.1. start:139 paragraphs:4, tables:0, lists:0
en 4.2.2. start:151 paragraphs:2, tables:0, lists:0
pt_PT 4.2.2. start:149 paragraphs:2, tables:0, lists:0
pt_PT 4.2.3. start:157 paragraphs:2, tables:0, lists:0
en 4.3. start:160 paragraphs:1, tables:0, lists:0
pt_PT 4.3. start:166 paragraphs:2, tables:0, lists:0
en 4.3.1. start:165 paragraphs:1, tables:0, lists:0
en 4.3.2. start:170 paragraphs:7, tables:0, lists:0
en 4.3.3. start:193 paragraphs:2, tables:0, lists:0
pt_PT 4.4. start:174 paragraphs:0, tables:1, lists:0
en 4.4. start:204 paragraphs:2, tables:0, lists:0
pt_PT 4.5. start:187 paragraphs:0, tables:1, lists:0
en 4.5. start:212 paragraphs:2, tables:0, lists:0
en 4.6. start:220 paragraphs:0, tables:1, lists:0
en 4.7. start:233 paragraphs:0, tables:1, lists:0
pt_PT 5. start:195 paragraphs:1, tables:0, lists:0
en 5. start:241 paragraphs:1, tables:0, lists:0
pt_PT 5.1. start:198 paragraphs:1, tables:0, lists:0
en 5.1. start:244 paragraphs:1, tables:0, lists:0
pt_PT 5.2. start:202 paragraphs:3, tables:1, lists:0
en 5.2. start:248 paragraphs:3, tables:1, lists:0
pt_PT 5.3. start:218 paragraphs:4, tables:2, lists:0
en 5.3. start:264 paragraphs:4, tables:2, lists:0
pt_PT 5.4. start:240 paragraphs:7, tables:1, lists:0
en 5.4. start:287 paragraphs:7, tables:1, lists:0
pt_PT 5.5. start:282 paragraphs:6, tables:2, lists:0
en 5.5. start:329 paragraphs:6, tables:2, lists:0
pt_PT 5.6. start:324 paragraphs:4, tables:1, lists:0
en 5.6. start:371 paragraphs:4, tables:1, lists:0
pt_PT 5.7. start:346 paragraphs:5, tables:1, lists:0
en 5.7. start:393 paragraphs:5, tables:1, lists:0
pt_PT 6. start:371 paragraphs:3, tables:1, lists:0
en 6. start:418 paragraphs:3, tables:1, lists:0
pt_PT 6.1. start:398 paragraphs:3, tables:1, lists:1
en 6.1. start:446 paragraphs:3, tables:1, lists:1
pt_PT 6.2. start:432 paragraphs:1, tables:1, lists:0
en 6.2. start:479 paragraphs:1, tables:1, lists:0
pt_PT 6.3. start:442 paragraphs:1, tables:1, lists:0
en 6.3. start:489 paragraphs:1, tables:1, lists:0
pt_PT 7. start:453 paragraphs:1, tables:0, lists:0
en 7. start:500 paragraphs:1, tables:0, lists:0
pt_PT 7.1. start:456 paragraphs:1, tables:1, lists:0
en 7.1. start:503 paragraphs:1, tables:1, lists:0
pt_PT 7.2. start:464 paragraphs:0, tables:1, lists:0
en 7.2. start:511 paragraphs:0, tables:1, lists:0
pt_PT 7.3. start:470 paragraphs:0, tables:1, lists:0
en 7.3. start:517 paragraphs:0, tables:1, lists:0
