# section number, section starts at line, paragraphs in this section, tables in this section, lists in this section.
1. start:10 paragraphs:1, tables:0, lists:0

1.1. start:15 paragraphs:2, tables:0, lists:1

1.2. start:33 paragraphs:1, tables:0, lists:0

1.3. start:37 paragraphs:3, tables:0, lists:0

1.4. start:44 paragraphs:2, tables:0, lists:0

1.5. start:50 paragraphs:2, tables:0, lists:0

2. start:58 paragraphs:0, tables:0, lists:1

3. start:65 paragraphs:6, tables:0, lists:0

3.1. start:84 paragraphs:1, tables:0, lists:1

3.2. start:92 paragraphs:2, tables:0, lists:0

3.2.1. start:102 paragraphs:1, tables:0, lists:0

3.2.2. start:106 paragraphs:1, tables:0, lists:0

3.2.3. start:110 paragraphs:1, tables:0, lists:0

3.3. start:115 paragraphs:2, tables:0, lists:0

4. start:127 paragraphs:0, tables:0, lists:0

4.1. start:129 paragraphs:5, tables:0, lists:0

4.2. start:149 paragraphs:0, tables:0, lists:0

4.2.1. start:151 paragraphs:4, tables:0, lists:0

4.2.2. start:161 paragraphs:2, tables:0, lists:0

4.3. start:170 paragraphs:1, tables:0, lists:0

4.3.1. start:175 paragraphs:1, tables:0, lists:0

4.3.2. start:180 paragraphs:7, tables:0, lists:0

4.3.3. start:203 paragraphs:2, tables:0, lists:0

4.4. start:214 paragraphs:2, tables:0, lists:0

4.5. start:222 paragraphs:2, tables:0, lists:0

4.6. start:230 paragraphs:0, tables:1, lists:0

4.7. start:243 paragraphs:0, tables:1, lists:0

5. start:251 paragraphs:1, tables:0, lists:0

5.1. start:254 paragraphs:1, tables:0, lists:0

5.2. start:258 paragraphs:3, tables:1, lists:0

5.3. start:274 paragraphs:4, tables:2, lists:0

5.4. start:297 paragraphs:7, tables:1, lists:0

5.5. start:339 paragraphs:6, tables:2, lists:0

5.6. start:381 paragraphs:4, tables:1, lists:0

5.7. start:403 paragraphs:5, tables:1, lists:0

6. start:428 paragraphs:3, tables:1, lists:0

6.1. start:457 paragraphs:3, tables:1, lists:1

6.2. start:490 paragraphs:1, tables:1, lists:0

6.3. start:500 paragraphs:1, tables:1, lists:0

7. start:511 paragraphs:1, tables:0, lists:0

7.1. start:514 paragraphs:0, tables:1, lists:0

7.2. start:521 paragraphs:0, tables:1, lists:0

7.3. start:527 paragraphs:1, tables:1, lists:0

7.4. start:535 paragraphs:0, tables:1, lists:0

7.5. start:541 paragraphs:0, tables:1, lists:0

8. start:548 paragraphs:0, tables:0, lists:0

8.1. start:550 paragraphs:1, tables:0, lists:0

8.1.1. start:557 paragraphs:10, tables:0, lists:0

8.1.2. start:599 paragraphs:5, tables:0, lists:0

8.1.3. start:615 paragraphs:17, tables:0, lists:0

8.1.4. start:685 paragraphs:1, tables:1, lists:0

8.1.5. start:695 paragraphs:17, tables:0, lists:0

8.1.6. start:757 paragraphs:14, tables:0, lists:0

8.1.7. start:802 paragraphs:8, tables:0, lists:0

8.1.8. start:830 paragraphs:7, tables:0, lists:0

8.1.9. start:852 paragraphs:14, tables:0, lists:1

8.1.10. start:902 paragraphs:6, tables:0, lists:0

8.1.11. start:933 paragraphs:12, tables:0, lists:0

8.1.12. start:972 paragraphs:6, tables:0, lists:1

8.1.13. start:1007 paragraphs:5, tables:0, lists:1

8.1.14. start:1035 paragraphs:3, tables:0, lists:0

8.2. start:1044 paragraphs:3, tables:1, lists:0

8.3. start:1059 paragraphs:3, tables:0, lists:0

9. start:1070 paragraphs:0, tables:0, lists:0

9.1. start:1072 paragraphs:2, tables:0, lists:0

9.2. start:1078 paragraphs:3, tables:0, lists:0

9.3. start:1087 paragraphs:7, tables:0, lists:0

9.4. start:1118 paragraphs:1, tables:0, lists:0

9.5. start:1122 paragraphs:1, tables:0, lists:0

10. start:1125 paragraphs:1, tables:0, lists:0

10.1. start:1129 paragraphs:3, tables:0, lists:0

10.2. start:1139 paragraphs:2, tables:0, lists:0

10.3. start:1146 paragraphs:1, tables:0, lists:0

10.4. start:1151 paragraphs:2, tables:0, lists:1

10.5. start:1164 paragraphs:2, tables:0, lists:0

10.6. start:1171 paragraphs:2, tables:0, lists:0

10.7. start:1177 paragraphs:2, tables:0, lists:0

11. start:1185 paragraphs:1, tables:0, lists:0

11.1. start:1188 paragraphs:5, tables:3, lists:0

11.2. start:1249 paragraphs:3, tables:1, lists:0

11.3. start:1281 paragraphs:3, tables:1, lists:0

11.4. start:1307 paragraphs:2, tables:1, lists:0

11.5. start:1327 paragraphs:5, tables:2, lists:1

11.6. start:1358 paragraphs:2, tables:1, lists:0

11.7. start:1375 paragraphs:2, tables:1, lists:0

11.8. start:1392 paragraphs:2, tables:1, lists:0

11.9. start:1422 paragraphs:2, tables:1, lists:0

11.10. start:1482 paragraphs:2, tables:1, lists:0

11.11. start:1495 paragraphs:2, tables:1, lists:0

11.12. start:1517 paragraphs:8, tables:3, lists:2

11.13. start:1597 paragraphs:8, tables:4, lists:1

11.14. start:1681 paragraphs:4, tables:1, lists:1

11.15. start:1729 paragraphs:3, tables:1, lists:0

12. start:1749 paragraphs:0, tables:0, lists:0

12.1. start:1751 paragraphs:13, tables:0, lists:3

12.2. start:1824 paragraphs:2, tables:0, lists:0

13. start:1833 paragraphs:1, tables:0, lists:0

