en 1.1. start:15 paragraphs:2, tables:0, lists:1
cs 1.1. start:15 paragraphs:3, tables:0, lists:1
en 1.2. start:33 paragraphs:1, tables:0, lists:0
cs 1.2. start:35 paragraphs:1, tables:0, lists:0
en 1.3. start:37 paragraphs:3, tables:0, lists:0
cs 1.3. start:40 paragraphs:3, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
cs 1.4. start:47 paragraphs:2, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
cs 1.5. start:53 paragraphs:2, tables:0, lists:0
en 3. start:65 paragraphs:6, tables:0, lists:0
cs 3. start:65 paragraphs:4, tables:0, lists:0
en 3.1. start:82 paragraphs:2, tables:0, lists:0
en 3.2. start:92 paragraphs:3, tables:0, lists:0
cs 4. start:75 paragraphs:0, tables:0, lists:0
en 4. start:104 paragraphs:0, tables:0, lists:0
cs 4.1. start:77 paragraphs:3, tables:0, lists:0
en 4.1. start:106 paragraphs:5, tables:0, lists:0
cs 4.2. start:84 paragraphs:1, tables:0, lists:0
en 4.2. start:124 paragraphs:0, tables:0, lists:0
cs 4.2.1. start:87 paragraphs:5, tables:0, lists:0
en 4.2.1. start:126 paragraphs:4, tables:0, lists:0
en 4.2.2. start:136 paragraphs:2, tables:0, lists:0
en 4.2.3. start:144 paragraphs:2, tables:0, lists:0
en 4.3. start:153 paragraphs:2, tables:0, lists:0
en 4.4. start:161 paragraphs:0, tables:1, lists:0
en 4.5. start:174 paragraphs:0, tables:1, lists:0
cs 5. start:100 paragraphs:0, tables:0, lists:0
en 5. start:182 paragraphs:1, tables:0, lists:0
cs 5.1. start:102 paragraphs:5, tables:0, lists:0
en 5.1. start:185 paragraphs:1, tables:0, lists:0
cs 5.2. start:114 paragraphs:0, tables:0, lists:0
en 5.2. start:189 paragraphs:3, tables:1, lists:0
cs 5.2.1. start:115 paragraphs:3, tables:0, lists:0
cs 5.2.2. start:122 paragraphs:1, tables:0, lists:0
cs 5.2.3. start:125 paragraphs:2, tables:0, lists:0
cs 5.3. start:133 paragraphs:2, tables:0, lists:0
en 5.3. start:205 paragraphs:4, tables:2, lists:0
cs 5.4. start:138 paragraphs:0, tables:1, lists:0
en 5.4. start:228 paragraphs:7, tables:1, lists:0
cs 5.5. start:151 paragraphs:1, tables:1, lists:0
en 5.5. start:270 paragraphs:6, tables:2, lists:0
en 5.6. start:312 paragraphs:4, tables:1, lists:0
en 5.7. start:334 paragraphs:5, tables:1, lists:0
cs 6. start:159 paragraphs:1, tables:0, lists:0
en 6. start:359 paragraphs:3, tables:1, lists:0
cs 6.1. start:162 paragraphs:1, tables:0, lists:0
en 6.1. start:387 paragraphs:3, tables:1, lists:1
cs 6.2. start:166 paragraphs:3, tables:1, lists:0
en 6.2. start:420 paragraphs:1, tables:1, lists:0
cs 6.3. start:182 paragraphs:4, tables:2, lists:0
en 6.3. start:430 paragraphs:1, tables:1, lists:0
cs 6.4. start:202 paragraphs:6, tables:1, lists:0
cs 6.5. start:234 paragraphs:4, tables:2, lists:0
cs 6.6. start:270 paragraphs:3, tables:1, lists:0
cs 6.7. start:284 paragraphs:4, tables:1, lists:0
cs 7. start:303 paragraphs:3, tables:1, lists:0
en 7. start:441 paragraphs:1, tables:0, lists:0
cs 7.1. start:329 paragraphs:2, tables:0, lists:1
en 7.1. start:444 paragraphs:1, tables:1, lists:0
cs 7.2. start:358 paragraphs:1, tables:1, lists:0
en 7.2. start:452 paragraphs:0, tables:1, lists:0
cs 7.3. start:365 paragraphs:1, tables:1, lists:0
en 7.3. start:458 paragraphs:0, tables:1, lists:0
cs 8. start:373 paragraphs:0, tables:0, lists:0
en 8. start:465 paragraphs:0, tables:0, lists:0
cs 8.1. start:375 paragraphs:1, tables:0, lists:0
en 8.1. start:467 paragraphs:1, tables:0, lists:0
cs 8.1.1. start:382 paragraphs:9, tables:0, lists:0
en 8.1.1. start:474 paragraphs:10, tables:0, lists:0
cs 8.1.2. start:409 paragraphs:6, tables:0, lists:0
en 8.1.2. start:516 paragraphs:5, tables:0, lists:0
cs 8.1.3. start:425 paragraphs:17, tables:0, lists:0
en 8.1.3. start:532 paragraphs:17, tables:0, lists:0
cs 8.1.4. start:482 paragraphs:1, tables:1, lists:0
en 8.1.4. start:602 paragraphs:1, tables:1, lists:0
cs 8.1.5. start:492 paragraphs:12, tables:0, lists:0
en 8.1.5. start:612 paragraphs:11, tables:0, lists:0
cs 8.1.6. start:525 paragraphs:13, tables:0, lists:0
en 8.1.6. start:650 paragraphs:12, tables:0, lists:0
cs 8.1.7. start:563 paragraphs:8, tables:1, lists:0
en 8.1.7. start:689 paragraphs:7, tables:1, lists:0
cs 8.1.8. start:590 paragraphs:7, tables:1, lists:0
en 8.1.8. start:718 paragraphs:6, tables:1, lists:0
cs 8.1.9. start:614 paragraphs:13, tables:1, lists:1
en 8.1.9. start:741 paragraphs:13, tables:1, lists:1
cs 8.1.10. start:661 paragraphs:10, tables:0, lists:0
en 8.1.10. start:792 paragraphs:12, tables:0, lists:0
cs 8.1.11. start:691 paragraphs:6, tables:0, lists:1
en 8.1.11. start:831 paragraphs:6, tables:0, lists:1
cs 8.1.12. start:722 paragraphs:5, tables:0, lists:1
en 8.1.12. start:866 paragraphs:5, tables:0, lists:1
cs 8.1.13. start:745 paragraphs:2, tables:0, lists:0
en 8.1.13. start:894 paragraphs:3, tables:0, lists:0
cs 8.2. start:753 paragraphs:7, tables:1, lists:0
en 8.2. start:903 paragraphs:4, tables:1, lists:0
en 8.3. start:919 paragraphs:3, tables:0, lists:0
cs 9. start:777 paragraphs:0, tables:0, lists:0
en 9. start:930 paragraphs:0, tables:0, lists:0
cs 9.1. start:779 paragraphs:2, tables:0, lists:0
en 9.1. start:932 paragraphs:2, tables:0, lists:0
cs 9.2. start:785 paragraphs:2, tables:0, lists:0
en 9.2. start:938 paragraphs:3, tables:0, lists:0
cs 9.3. start:792 paragraphs:1, tables:0, lists:0
en 9.3. start:947 paragraphs:1, tables:0, lists:0
cs 9.4. start:796 paragraphs:1, tables:0, lists:0
en 9.4. start:951 paragraphs:1, tables:0, lists:0
cs 10. start:799 paragraphs:1, tables:0, lists:0
en 10. start:954 paragraphs:1, tables:0, lists:0
cs 10.1. start:802 paragraphs:3, tables:0, lists:0
en 10.1. start:958 paragraphs:3, tables:0, lists:0
cs 10.2. start:811 paragraphs:2, tables:0, lists:0
en 10.2. start:968 paragraphs:2, tables:0, lists:0
cs 10.3. start:818 paragraphs:1, tables:0, lists:0
en 10.3. start:975 paragraphs:1, tables:0, lists:0
cs 10.4. start:823 paragraphs:1, tables:0, lists:0
en 10.4. start:980 paragraphs:2, tables:0, lists:1
cs 10.5. start:828 paragraphs:1, tables:0, lists:0
en 10.5. start:993 paragraphs:2, tables:0, lists:0
en 10.6. start:1000 paragraphs:2, tables:0, lists:0
cs 11. start:832 paragraphs:1, tables:0, lists:0
en 11. start:1006 paragraphs:1, tables:0, lists:0
cs 11.1. start:835 paragraphs:1, tables:0, lists:0
en 11.1. start:1009 paragraphs:2, tables:1, lists:0
cs 11.2. start:841 paragraphs:1, tables:0, lists:0
en 11.2. start:1029 paragraphs:2, tables:1, lists:0
cs 11.3. start:846 paragraphs:1, tables:0, lists:0
en 11.3. start:1058 paragraphs:2, tables:1, lists:0
cs 11.4. start:850 paragraphs:1, tables:0, lists:0
en 11.4. start:1082 paragraphs:2, tables:1, lists:0
cs 11.5. start:855 paragraphs:3, tables:0, lists:1
en 11.5. start:1102 paragraphs:5, tables:2, lists:1
cs 11.6. start:867 paragraphs:1, tables:0, lists:0
en 11.6. start:1133 paragraphs:2, tables:1, lists:0
en 11.7. start:1150 paragraphs:2, tables:1, lists:0
en 11.8. start:1167 paragraphs:2, tables:1, lists:0
en 11.9. start:1197 paragraphs:2, tables:1, lists:0
cs 12. start:873 paragraphs:0, tables:0, lists:0
en 12. start:1214 paragraphs:0, tables:0, lists:0
cs 12.1. start:875 paragraphs:13, tables:0, lists:2
en 12.1. start:1216 paragraphs:13, tables:0, lists:2
en 12.2. start:1281 paragraphs:2, tables:0, lists:0
en 13. start:1290 paragraphs:1, tables:0, lists:0
cs 13. start:933 paragraphs:2, tables:0, lists:0
