en 1. start:10 paragraphs:1, tables:0, lists:0
hu 1. start:13 paragraphs:8, tables:0, lists:2
en 1.1. start:15 paragraphs:2, tables:0, lists:1
en 1.2. start:33 paragraphs:1, tables:0, lists:0
en 1.3. start:37 paragraphs:3, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
hu 2. start:48 paragraphs:0, tables:0, lists:0
en 2. start:58 paragraphs:0, tables:0, lists:1
hu 2.1. start:49 paragraphs:2, tables:0, lists:1
hu 2.2. start:69 paragraphs:1, tables:0, lists:0
hu 2.3. start:73 paragraphs:2, tables:0, lists:0
hu 2.4. start:79 paragraphs:1, tables:0, lists:0
hu 2.5. start:84 paragraphs:4, tables:0, lists:0
en 3. start:65 paragraphs:6, tables:0, lists:0
hu 3. start:95 paragraphs:0, tables:0, lists:1
en 3.1. start:82 paragraphs:2, tables:0, lists:0
en 3.2. start:92 paragraphs:3, tables:0, lists:0
hu 4. start:103 paragraphs:3, tables:0, lists:0
en 4. start:104 paragraphs:0, tables:0, lists:0
en 4.1. start:106 paragraphs:5, tables:0, lists:0
en 4.2. start:124 paragraphs:0, tables:0, lists:0
en 4.2.1. start:126 paragraphs:4, tables:0, lists:0
en 4.2.2. start:136 paragraphs:2, tables:0, lists:0
en 4.2.3. start:144 paragraphs:2, tables:0, lists:0
en 4.3. start:153 paragraphs:2, tables:0, lists:0
en 4.4. start:161 paragraphs:0, tables:1, lists:0
en 4.5. start:174 paragraphs:0, tables:1, lists:0
hu 5. start:111 paragraphs:0, tables:0, lists:0
en 5. start:182 paragraphs:1, tables:0, lists:0
hu 5.1. start:112 paragraphs:4, tables:0, lists:0
en 5.1. start:185 paragraphs:1, tables:0, lists:0
hu 5.2. start:123 paragraphs:3, tables:0, lists:0
en 5.2. start:189 paragraphs:3, tables:1, lists:0
en 5.3. start:205 paragraphs:4, tables:2, lists:0
en 5.4. start:228 paragraphs:7, tables:1, lists:0
en 5.5. start:270 paragraphs:6, tables:2, lists:0
en 5.6. start:312 paragraphs:4, tables:1, lists:0
en 5.7. start:334 paragraphs:5, tables:1, lists:0
hu 6. start:131 paragraphs:0, tables:0, lists:0
en 6. start:359 paragraphs:3, tables:1, lists:0
hu 6.1. start:132 paragraphs:5, tables:0, lists:0
en 6.1. start:387 paragraphs:3, tables:1, lists:1
hu 6.2. start:144 paragraphs:0, tables:0, lists:0
en 6.2. start:420 paragraphs:1, tables:1, lists:0
hu 6.2.1. start:146 paragraphs:2, tables:0, lists:0
hu 6.2.2. start:152 paragraphs:2, tables:0, lists:0
hu 6.2.3. start:157 paragraphs:2, tables:0, lists:0
hu 6.3. start:166 paragraphs:3, tables:0, lists:0
en 6.3. start:430 paragraphs:1, tables:1, lists:0
hu 6.4. start:174 paragraphs:0, tables:1, lists:0
hu 6.5. start:187 paragraphs:0, tables:1, lists:0
hu 7. start:195 paragraphs:1, tables:0, lists:0
en 7. start:441 paragraphs:1, tables:0, lists:0
hu 7.1. start:199 paragraphs:1, tables:0, lists:0
en 7.1. start:444 paragraphs:1, tables:1, lists:0
hu 7.2. start:204 paragraphs:4, tables:1, lists:1
en 7.2. start:452 paragraphs:0, tables:1, lists:0
hu 7.3. start:225 paragraphs:5, tables:2, lists:0
en 7.3. start:458 paragraphs:0, tables:1, lists:0
hu 7.4. start:249 paragraphs:6, tables:1, lists:0
hu 7.5. start:283 paragraphs:8, tables:3, lists:0
hu 7.6. start:322 paragraphs:3, tables:1, lists:0
hu 7.7. start:342 paragraphs:6, tables:1, lists:0
hu 8. start:366 paragraphs:4, tables:1, lists:0
en 8. start:465 paragraphs:0, tables:0, lists:0
hu 8.1. start:385 paragraphs:2, tables:0, lists:1
en 8.1. start:467 paragraphs:1, tables:0, lists:0
en 8.1.1. start:474 paragraphs:10, tables:0, lists:0
en 8.1.2. start:516 paragraphs:5, tables:0, lists:0
en 8.1.3. start:532 paragraphs:17, tables:0, lists:0
en 8.1.4. start:602 paragraphs:1, tables:1, lists:0
en 8.1.5. start:612 paragraphs:11, tables:0, lists:0
en 8.1.6. start:650 paragraphs:12, tables:0, lists:0
en 8.1.7. start:689 paragraphs:7, tables:1, lists:0
en 8.1.8. start:718 paragraphs:6, tables:1, lists:0
en 8.1.9. start:741 paragraphs:13, tables:1, lists:1
en 8.1.10. start:792 paragraphs:12, tables:0, lists:0
en 8.1.11. start:831 paragraphs:6, tables:0, lists:1
en 8.1.12. start:866 paragraphs:5, tables:0, lists:1
en 8.1.13. start:894 paragraphs:3, tables:0, lists:0
hu 8.2. start:416 paragraphs:1, tables:1, lists:0
en 8.2. start:903 paragraphs:4, tables:1, lists:0
hu 8.3. start:424 paragraphs:1, tables:1, lists:0
en 8.3. start:919 paragraphs:3, tables:0, lists:0
hu 9. start:433 paragraphs:1, tables:0, lists:0
en 9. start:930 paragraphs:0, tables:0, lists:0
hu 9.1. start:436 paragraphs:0, tables:1, lists:0
en 9.1. start:932 paragraphs:2, tables:0, lists:0
hu 9.2. start:442 paragraphs:0, tables:1, lists:0
en 9.2. start:938 paragraphs:3, tables:0, lists:0
hu 9.3. start:448 paragraphs:0, tables:1, lists:0
en 9.3. start:947 paragraphs:1, tables:0, lists:0
en 9.4. start:951 paragraphs:1, tables:0, lists:0
hu 10. start:455 paragraphs:0, tables:0, lists:0
en 10. start:954 paragraphs:1, tables:0, lists:0
hu 10.1. start:456 paragraphs:1, tables:0, lists:0
en 10.1. start:958 paragraphs:3, tables:0, lists:0
hu 10.1.1. start:461 paragraphs:9, tables:0, lists:0
hu 10.1.2. start:498 paragraphs:10, tables:0, lists:0
hu 10.1.3. start:522 paragraphs:14, tables:0, lists:0
hu 10.1.4. start:574 paragraphs:1, tables:1, lists:0
hu 10.1.5. start:585 paragraphs:10, tables:0, lists:0
hu 10.1.6. start:618 paragraphs:12, tables:0, lists:0
hu 10.1.7. start:660 paragraphs:8, tables:1, lists:1
hu 10.1.8. start:700 paragraphs:6, tables:1, lists:0
hu 10.1.9. start:723 paragraphs:12, tables:1, lists:1
hu 10.1.10. start:774 paragraphs:9, tables:0, lists:0
hu 10.1.11. start:809 paragraphs:4, tables:0, lists:1
hu 10.1.12. start:838 paragraphs:5, tables:0, lists:1
hu 10.1.13. start:854 paragraphs:1, tables:0, lists:0
hu 10.2. start:858 paragraphs:3, tables:1, lists:0
en 10.2. start:968 paragraphs:2, tables:0, lists:0
hu 10.3. start:871 paragraphs:2, tables:0, lists:0
en 10.3. start:975 paragraphs:1, tables:0, lists:0
en 10.4. start:980 paragraphs:2, tables:0, lists:1
en 10.5. start:993 paragraphs:2, tables:0, lists:0
en 10.6. start:1000 paragraphs:2, tables:0, lists:0
hu 11. start:877 paragraphs:0, tables:0, lists:0
en 11. start:1006 paragraphs:1, tables:0, lists:0
hu 11.1. start:879 paragraphs:2, tables:0, lists:0
en 11.1. start:1009 paragraphs:2, tables:1, lists:0
hu 11.2. start:884 paragraphs:3, tables:0, lists:0
en 11.2. start:1029 paragraphs:2, tables:1, lists:0
hu 11.3. start:891 paragraphs:1, tables:0, lists:0
en 11.3. start:1058 paragraphs:2, tables:1, lists:0
hu 11.4. start:895 paragraphs:1, tables:0, lists:0
en 11.4. start:1082 paragraphs:2, tables:1, lists:0
en 11.5. start:1102 paragraphs:5, tables:2, lists:1
en 11.6. start:1133 paragraphs:2, tables:1, lists:0
en 11.7. start:1150 paragraphs:2, tables:1, lists:0
en 11.8. start:1167 paragraphs:2, tables:1, lists:0
en 11.9. start:1197 paragraphs:2, tables:1, lists:0
hu 12. start:899 paragraphs:1, tables:0, lists:0
en 12. start:1214 paragraphs:0, tables:0, lists:0
hu 12.1. start:903 paragraphs:1, tables:0, lists:0
en 12.1. start:1216 paragraphs:13, tables:0, lists:2
hu 12.2. start:907 paragraphs:1, tables:0, lists:0
en 12.2. start:1281 paragraphs:2, tables:0, lists:0
