# section number, section starts at line, paragraphs in this section, tables in this section, lists in this section.
1. start:10 paragraphs:1, tables:0, lists:0

1.1. start:15 paragraphs:2, tables:0, lists:1

1.2. start:33 paragraphs:1, tables:0, lists:0

1.3. start:37 paragraphs:3, tables:0, lists:0

1.4. start:44 paragraphs:2, tables:0, lists:0

1.5. start:50 paragraphs:2, tables:0, lists:0

2. start:58 paragraphs:0, tables:0, lists:1

3. start:65 paragraphs:4, tables:0, lists:0

4. start:77 paragraphs:0, tables:0, lists:0

4.1. start:79 paragraphs:3, tables:0, lists:0

4.2. start:93 paragraphs:1, tables:0, lists:0

4.2.1. start:97 paragraphs:5, tables:0, lists:0

5. start:109 paragraphs:0, tables:0, lists:0

5.1. start:111 paragraphs:5, tables:0, lists:0

5.2. start:129 paragraphs:0, tables:0, lists:0

5.2.1. start:131 paragraphs:4, tables:0, lists:0

5.2.2. start:141 paragraphs:2, tables:0, lists:0

5.2.3. start:149 paragraphs:2, tables:0, lists:0

5.3. start:158 paragraphs:2, tables:0, lists:0

5.4. start:166 paragraphs:0, tables:1, lists:0

5.5. start:179 paragraphs:0, tables:1, lists:0

6. start:187 paragraphs:1, tables:0, lists:0

6.1. start:190 paragraphs:1, tables:0, lists:0

6.2. start:194 paragraphs:3, tables:1, lists:0

6.3. start:210 paragraphs:4, tables:2, lists:0

6.4. start:233 paragraphs:7, tables:1, lists:0

6.5. start:275 paragraphs:6, tables:2, lists:0

6.6. start:317 paragraphs:4, tables:1, lists:0

6.7. start:339 paragraphs:5, tables:1, lists:0

7. start:364 paragraphs:3, tables:1, lists:0

7.1. start:392 paragraphs:2, tables:0, lists:1

7.2. start:421 paragraphs:1, tables:1, lists:0

7.3. start:431 paragraphs:1, tables:1, lists:0

8. start:442 paragraphs:1, tables:0, lists:0

8.1. start:445 paragraphs:0, tables:1, lists:0

8.2. start:451 paragraphs:0, tables:1, lists:0

8.3. start:457 paragraphs:0, tables:1, lists:0

9. start:464 paragraphs:0, tables:0, lists:0

9.1. start:466 paragraphs:1, tables:0, lists:0

9.1.1. start:473 paragraphs:9, tables:0, lists:0

9.1.2. start:511 paragraphs:5, tables:0, lists:0

9.1.3. start:527 paragraphs:17, tables:0, lists:0

9.1.4. start:597 paragraphs:1, tables:1, lists:0

9.1.5. start:607 paragraphs:10, tables:0, lists:0

9.1.6. start:639 paragraphs:11, tables:0, lists:0

9.1.7. start:673 paragraphs:7, tables:1, lists:0

9.1.8. start:701 paragraphs:6, tables:1, lists:0

9.1.9. start:724 paragraphs:9, tables:1, lists:1

9.1.10. start:765 paragraphs:12, tables:0, lists:0

9.1.11. start:805 paragraphs:6, tables:0, lists:1

9.1.12. start:838 paragraphs:5, tables:0, lists:1

9.1.13. start:863 paragraphs:3, tables:0, lists:0

9.2. start:873 paragraphs:4, tables:1, lists:0

9.3. start:887 paragraphs:3, tables:0, lists:0

10. start:898 paragraphs:0, tables:0, lists:0

10.1. start:900 paragraphs:2, tables:0, lists:0

10.2. start:906 paragraphs:3, tables:0, lists:0

10.3. start:915 paragraphs:1, tables:0, lists:0

10.4. start:919 paragraphs:1, tables:0, lists:0

11. start:922 paragraphs:1, tables:0, lists:0

12. start:927 paragraphs:1, tables:0, lists:0

12.1. start:930 paragraphs:2, tables:0, lists:0

12.2. start:939 paragraphs:2, tables:0, lists:0

12.3. start:946 paragraphs:1, tables:0, lists:0

12.4. start:951 paragraphs:2, tables:0, lists:1

12.5. start:960 paragraphs:1, tables:0, lists:0

12.6. start:965 paragraphs:2, tables:0, lists:0

13. start:971 paragraphs:1, tables:0, lists:0

13.1. start:974 paragraphs:1, tables:0, lists:0

13.2. start:981 paragraphs:1, tables:0, lists:0

13.3. start:986 paragraphs:1, tables:0, lists:0

13.4. start:991 paragraphs:1, tables:0, lists:0

13.5. start:996 paragraphs:1, tables:0, lists:0

