en 1. start:10 paragraphs:1, tables:0, lists:0
pl 1. start:10 paragraphs:2, tables:0, lists:1
en 1.1. start:15 paragraphs:2, tables:0, lists:1
pl 1.1. start:28 paragraphs:1, tables:0, lists:0
en 1.2. start:33 paragraphs:1, tables:0, lists:0
pl 1.2. start:32 paragraphs:2, tables:0, lists:0
en 1.3. start:37 paragraphs:3, tables:0, lists:0
pl 1.3. start:38 paragraphs:2, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
pl 1.4. start:43 paragraphs:2, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
pl 2. start:48 paragraphs:0, tables:0, lists:1
en 2. start:58 paragraphs:0, tables:0, lists:1
pl 3. start:55 paragraphs:3, tables:0, lists:0
en 3. start:65 paragraphs:6, tables:0, lists:0
pl 3.1. start:67 paragraphs:2, tables:0, lists:0
en 3.1. start:84 paragraphs:1, tables:0, lists:1
pl 3.2. start:73 paragraphs:1, tables:0, lists:0
en 3.2. start:92 paragraphs:2, tables:0, lists:0
en 3.2.1. start:102 paragraphs:1, tables:0, lists:0
en 3.2.2. start:106 paragraphs:1, tables:0, lists:0
en 3.2.3. start:110 paragraphs:1, tables:0, lists:0
en 3.3. start:115 paragraphs:2, tables:0, lists:0
pl 4. start:80 paragraphs:0, tables:0, lists:0
en 4. start:127 paragraphs:0, tables:0, lists:0
pl 4.1. start:82 paragraphs:5, tables:0, lists:0
en 4.1. start:129 paragraphs:5, tables:0, lists:0
pl 4.2. start:99 paragraphs:0, tables:0, lists:0
en 4.2. start:149 paragraphs:0, tables:0, lists:0
pl 4.2.1. start:101 paragraphs:1, tables:0, lists:0
en 4.2.1. start:151 paragraphs:4, tables:0, lists:0
pl 4.2.2. start:110 paragraphs:2, tables:0, lists:0
en 4.2.2. start:161 paragraphs:2, tables:0, lists:0
pl 4.3. start:118 paragraphs:1, tables:0, lists:0
en 4.3. start:170 paragraphs:1, tables:0, lists:0
pl 4.3.1. start:122 paragraphs:3, tables:0, lists:0
en 4.3.1. start:175 paragraphs:1, tables:0, lists:0
pl 4.3.2. start:134 paragraphs:2, tables:0, lists:0
en 4.3.2. start:180 paragraphs:7, tables:0, lists:0
en 4.3.3. start:203 paragraphs:2, tables:0, lists:0
pl 4.4. start:142 paragraphs:1, tables:0, lists:0
en 4.4. start:214 paragraphs:2, tables:0, lists:0
pl 4.5. start:147 paragraphs:1, tables:0, lists:0
en 4.5. start:222 paragraphs:2, tables:0, lists:0
pl 4.6. start:154 paragraphs:0, tables:1, lists:0
en 4.6. start:230 paragraphs:0, tables:1, lists:0
pl 4.7. start:164 paragraphs:0, tables:1, lists:0
en 4.7. start:243 paragraphs:0, tables:1, lists:0
pl 5. start:172 paragraphs:0, tables:0, lists:0
en 5. start:251 paragraphs:1, tables:0, lists:0
pl 5.1. start:174 paragraphs:2, tables:1, lists:0
en 5.1. start:254 paragraphs:1, tables:0, lists:0
pl 5.2. start:189 paragraphs:2, tables:2, lists:0
en 5.2. start:258 paragraphs:3, tables:1, lists:0
pl 5.3. start:207 paragraphs:3, tables:1, lists:0
en 5.3. start:274 paragraphs:4, tables:2, lists:0
pl 5.4. start:232 paragraphs:5, tables:3, lists:0
en 5.4. start:297 paragraphs:7, tables:1, lists:0
pl 5.5. start:274 paragraphs:2, tables:1, lists:0
en 5.5. start:339 paragraphs:6, tables:2, lists:0
pl 5.6. start:285 paragraphs:5, tables:1, lists:0
en 5.6. start:381 paragraphs:2, tables:1, lists:0
en 5.6.1. start:392 paragraphs:1, tables:0, lists:0
en 5.6.2. start:397 paragraphs:3, tables:0, lists:0
en 5.6.3. start:406 paragraphs:3, tables:0, lists:0
en 5.7. start:415 paragraphs:5, tables:1, lists:0
pl 6. start:310 paragraphs:3, tables:3, lists:0
en 6. start:440 paragraphs:3, tables:1, lists:0
pl 6.1. start:331 paragraphs:1, tables:0, lists:1
en 6.1. start:469 paragraphs:3, tables:1, lists:1
pl 6.2. start:359 paragraphs:1, tables:1, lists:0
en 6.2. start:502 paragraphs:1, tables:1, lists:0
pl 6.3. start:370 paragraphs:1, tables:1, lists:0
en 6.3. start:512 paragraphs:1, tables:1, lists:0
pl 7. start:381 paragraphs:1, tables:0, lists:0
en 7. start:523 paragraphs:1, tables:0, lists:0
pl 7.1. start:383 paragraphs:0, tables:1, lists:0
en 7.1. start:526 paragraphs:0, tables:1, lists:0
pl 7.2. start:389 paragraphs:1, tables:1, lists:0
en 7.2. start:533 paragraphs:0, tables:1, lists:0
pl 7.3. start:395 paragraphs:0, tables:1, lists:0
en 7.3. start:539 paragraphs:1, tables:1, lists:0
en 7.4. start:547 paragraphs:0, tables:1, lists:0
en 7.5. start:553 paragraphs:0, tables:1, lists:0
pl 8. start:403 paragraphs:0, tables:0, lists:0
en 8. start:560 paragraphs:0, tables:0, lists:0
pl 8.1. start:405 paragraphs:1, tables:0, lists:0
en 8.1. start:562 paragraphs:1, tables:0, lists:0
pl 8.1.1. start:412 paragraphs:8, tables:0, lists:0
en 8.1.1. start:569 paragraphs:10, tables:0, lists:0
pl 8.1.2. start:447 paragraphs:5, tables:0, lists:0
en 8.1.2. start:611 paragraphs:5, tables:0, lists:0
pl 8.1.3. start:465 paragraphs:17, tables:0, lists:0
en 8.1.3. start:627 paragraphs:17, tables:0, lists:0
pl 8.1.4. start:522 paragraphs:1, tables:1, lists:0
en 8.1.4. start:697 paragraphs:1, tables:1, lists:0
pl 8.1.5. start:532 paragraphs:13, tables:0, lists:0
en 8.1.5. start:707 paragraphs:17, tables:0, lists:0
pl 8.1.6. start:574 paragraphs:12, tables:0, lists:0
en 8.1.6. start:769 paragraphs:14, tables:0, lists:0
pl 8.1.7. start:612 paragraphs:7, tables:1, lists:0
en 8.1.7. start:814 paragraphs:8, tables:0, lists:0
pl 8.1.8. start:641 paragraphs:6, tables:1, lists:0
en 8.1.8. start:842 paragraphs:7, tables:0, lists:0
pl 8.1.9. start:663 paragraphs:10, tables:1, lists:1
en 8.1.9. start:864 paragraphs:14, tables:0, lists:1
pl 8.1.10. start:705 paragraphs:11, tables:0, lists:0
en 8.1.10. start:914 paragraphs:6, tables:0, lists:0
pl 8.1.11. start:743 paragraphs:4, tables:0, lists:1
en 8.1.11. start:945 paragraphs:12, tables:0, lists:0
pl 8.1.12. start:772 paragraphs:5, tables:0, lists:1
en 8.1.12. start:987 paragraphs:6, tables:0, lists:1
pl 8.1.13. start:795 paragraphs:2, tables:0, lists:0
en 8.1.13. start:1022 paragraphs:5, tables:0, lists:1
en 8.1.14. start:1050 paragraphs:3, tables:0, lists:0
pl 8.2. start:801 paragraphs:2, tables:1, lists:0
en 8.2. start:1059 paragraphs:3, tables:1, lists:0
pl 8.3. start:812 paragraphs:3, tables:0, lists:0
en 8.3. start:1074 paragraphs:3, tables:0, lists:0
pl 9. start:825 paragraphs:0, tables:0, lists:0
en 9. start:1085 paragraphs:0, tables:0, lists:0
pl 9.1. start:827 paragraphs:2, tables:0, lists:0
en 9.1. start:1087 paragraphs:2, tables:0, lists:0
pl 9.2. start:833 paragraphs:1, tables:0, lists:0
en 9.2. start:1093 paragraphs:3, tables:0, lists:0
pl 9.3. start:839 paragraphs:1, tables:0, lists:0
en 9.3. start:1102 paragraphs:8, tables:0, lists:0
pl 9.4. start:843 paragraphs:1, tables:0, lists:0
en 9.4. start:1135 paragraphs:1, tables:0, lists:0
pl 9.5. start:845 paragraphs:2, tables:0, lists:0
en 9.5. start:1139 paragraphs:1, tables:0, lists:0
pl 10. start:854 paragraphs:1, tables:0, lists:0
en 10. start:1142 paragraphs:1, tables:0, lists:0
pl 10.1. start:857 paragraphs:3, tables:0, lists:0
en 10.1. start:1146 paragraphs:3, tables:0, lists:0
pl 10.2. start:865 paragraphs:2, tables:0, lists:0
en 10.2. start:1156 paragraphs:2, tables:0, lists:0
pl 10.3. start:872 paragraphs:1, tables:0, lists:0
en 10.3. start:1163 paragraphs:1, tables:0, lists:0
pl 10.4. start:877 paragraphs:2, tables:0, lists:0
en 10.4. start:1168 paragraphs:2, tables:0, lists:1
pl 10.5. start:883 paragraphs:1, tables:0, lists:0
en 10.5. start:1181 paragraphs:2, tables:0, lists:0
pl 10.6. start:888 paragraphs:1, tables:0, lists:0
en 10.6. start:1188 paragraphs:2, tables:0, lists:0
en 10.7. start:1194 paragraphs:2, tables:0, lists:0
pl 11. start:892 paragraphs:1, tables:0, lists:0
en 11. start:1202 paragraphs:1, tables:0, lists:0
pl 11.1. start:895 paragraphs:1, tables:0, lists:0
en 11.1. start:1205 paragraphs:5, tables:3, lists:0
pl 11.2. start:900 paragraphs:3, tables:3, lists:0
en 11.2. start:1266 paragraphs:3, tables:1, lists:0
pl 11.3. start:927 paragraphs:3, tables:2, lists:0
en 11.3. start:1298 paragraphs:3, tables:1, lists:0
pl 11.4. start:951 paragraphs:1, tables:0, lists:0
en 11.4. start:1324 paragraphs:2, tables:1, lists:0
pl 11.5. start:955 paragraphs:1, tables:1, lists:0
en 11.5. start:1344 paragraphs:5, tables:2, lists:1
en 11.6. start:1375 paragraphs:2, tables:1, lists:0
en 11.7. start:1392 paragraphs:2, tables:1, lists:0
en 11.8. start:1409 paragraphs:2, tables:1, lists:0
en 11.9. start:1439 paragraphs:2, tables:1, lists:0
en 11.10. start:1499 paragraphs:2, tables:1, lists:0
en 11.11. start:1512 paragraphs:2, tables:1, lists:0
en 11.12. start:1534 paragraphs:8, tables:3, lists:2
en 11.13. start:1614 paragraphs:8, tables:4, lists:1
en 11.14. start:1698 paragraphs:4, tables:1, lists:1
en 11.15. start:1746 paragraphs:3, tables:1, lists:0
pl 12. start:971 paragraphs:0, tables:0, lists:0
en 12. start:1766 paragraphs:0, tables:0, lists:0
pl 12.1. start:972 paragraphs:3, tables:0, lists:0
en 12.1. start:1768 paragraphs:13, tables:0, lists:3
pl 12.2. start:994 paragraphs:1, tables:0, lists:0
en 12.2. start:1841 paragraphs:2, tables:0, lists:0
en 13. start:1850 paragraphs:1, tables:0, lists:0
pl 13. start:998 paragraphs:1, tables:0, lists:0
