en 3. start:65 paragraphs:6, tables:0, lists:0
fr 3. start:65 paragraphs:5, tables:0, lists:0
en 3.1. start:82 paragraphs:2, tables:0, lists:0
fr 3.1. start:81 paragraphs:2, tables:0, lists:0
en 3.2. start:92 paragraphs:3, tables:0, lists:0
fr 3.2. start:90 paragraphs:3, tables:0, lists:0
en 4. start:104 paragraphs:0, tables:0, lists:0
fr 4. start:102 paragraphs:0, tables:0, lists:0
en 4.1. start:106 paragraphs:5, tables:0, lists:0
fr 4.1. start:104 paragraphs:5, tables:0, lists:0
en 4.2. start:124 paragraphs:0, tables:0, lists:0
fr 4.2. start:122 paragraphs:0, tables:0, lists:0
en 4.2.1. start:126 paragraphs:4, tables:0, lists:0
fr 4.2.1. start:124 paragraphs:4, tables:0, lists:0
en 4.2.2. start:136 paragraphs:2, tables:0, lists:0
fr 4.2.2. start:134 paragraphs:2, tables:0, lists:0
en 4.2.3. start:144 paragraphs:2, tables:0, lists:0
fr 4.2.3. start:142 paragraphs:2, tables:0, lists:0
en 4.3. start:153 paragraphs:2, tables:0, lists:0
fr 4.3. start:151 paragraphs:2, tables:0, lists:0
en 4.4. start:161 paragraphs:0, tables:1, lists:0
fr 4.4. start:159 paragraphs:0, tables:1, lists:0
en 4.5. start:174 paragraphs:0, tables:1, lists:0
fr 4.5. start:172 paragraphs:0, tables:1, lists:0
en 5. start:182 paragraphs:1, tables:0, lists:0
fr 5. start:180 paragraphs:1, tables:0, lists:0
en 5.1. start:185 paragraphs:1, tables:0, lists:0
fr 5.1. start:183 paragraphs:1, tables:0, lists:0
en 5.2. start:189 paragraphs:3, tables:1, lists:0
fr 5.2. start:187 paragraphs:3, tables:1, lists:0
en 5.3. start:205 paragraphs:4, tables:2, lists:0
fr 5.3. start:203 paragraphs:4, tables:2, lists:0
en 5.4. start:228 paragraphs:7, tables:1, lists:0
fr 5.4. start:226 paragraphs:7, tables:1, lists:0
en 5.5. start:270 paragraphs:6, tables:2, lists:0
fr 5.5. start:268 paragraphs:6, tables:2, lists:0
en 5.6. start:312 paragraphs:4, tables:1, lists:0
fr 5.6. start:310 paragraphs:4, tables:1, lists:0
en 5.7. start:334 paragraphs:5, tables:1, lists:0
fr 5.7. start:332 paragraphs:5, tables:1, lists:0
en 6. start:359 paragraphs:3, tables:1, lists:0
fr 6. start:357 paragraphs:3, tables:1, lists:0
en 6.1. start:387 paragraphs:3, tables:1, lists:1
fr 6.1. start:385 paragraphs:3, tables:1, lists:1
en 6.2. start:420 paragraphs:1, tables:1, lists:0
fr 6.2. start:418 paragraphs:1, tables:1, lists:0
en 6.3. start:430 paragraphs:1, tables:1, lists:0
fr 6.3. start:428 paragraphs:1, tables:1, lists:0
en 7. start:441 paragraphs:1, tables:0, lists:0
fr 7. start:439 paragraphs:1, tables:0, lists:0
en 7.1. start:444 paragraphs:1, tables:1, lists:0
fr 7.1. start:442 paragraphs:1, tables:1, lists:0
en 7.2. start:452 paragraphs:0, tables:1, lists:0
fr 7.2. start:450 paragraphs:0, tables:1, lists:0
en 7.3. start:458 paragraphs:0, tables:1, lists:0
fr 7.3. start:456 paragraphs:0, tables:1, lists:0
en 8. start:465 paragraphs:0, tables:0, lists:0
fr 8. start:463 paragraphs:0, tables:0, lists:0
en 8.1. start:467 paragraphs:1, tables:0, lists:0
fr 8.1. start:465 paragraphs:1, tables:0, lists:0
en 8.1.1. start:474 paragraphs:10, tables:0, lists:0
fr 8.1.1. start:472 paragraphs:10, tables:0, lists:0
en 8.1.2. start:516 paragraphs:5, tables:0, lists:0
fr 8.1.2. start:514 paragraphs:5, tables:0, lists:0
en 8.1.3. start:532 paragraphs:17, tables:0, lists:0
fr 8.1.3. start:530 paragraphs:17, tables:0, lists:0
en 8.1.4. start:602 paragraphs:1, tables:1, lists:0
fr 8.1.4. start:600 paragraphs:1, tables:1, lists:0
en 8.1.5. start:612 paragraphs:11, tables:0, lists:0
fr 8.1.5. start:610 paragraphs:11, tables:0, lists:0
en 8.1.6. start:650 paragraphs:12, tables:0, lists:0
fr 8.1.6. start:648 paragraphs:12, tables:0, lists:0
en 8.1.7. start:689 paragraphs:7, tables:1, lists:0
fr 8.1.7. start:687 paragraphs:7, tables:1, lists:0
en 8.1.8. start:718 paragraphs:6, tables:1, lists:0
fr 8.1.8. start:716 paragraphs:6, tables:1, lists:0
en 8.1.9. start:741 paragraphs:13, tables:1, lists:1
fr 8.1.9. start:739 paragraphs:13, tables:1, lists:1
en 8.1.10. start:792 paragraphs:12, tables:0, lists:0
fr 8.1.10. start:790 paragraphs:12, tables:0, lists:0
en 8.1.11. start:831 paragraphs:6, tables:0, lists:1
fr 8.1.11. start:829 paragraphs:6, tables:0, lists:1
en 8.1.12. start:866 paragraphs:5, tables:0, lists:1
fr 8.1.12. start:864 paragraphs:5, tables:0, lists:1
en 8.1.13. start:894 paragraphs:3, tables:0, lists:0
fr 8.1.13. start:892 paragraphs:3, tables:0, lists:0
en 8.2. start:903 paragraphs:4, tables:1, lists:0
fr 8.2. start:901 paragraphs:4, tables:1, lists:0
en 8.3. start:919 paragraphs:3, tables:0, lists:0
fr 8.3. start:917 paragraphs:3, tables:0, lists:0
en 9. start:930 paragraphs:0, tables:0, lists:0
fr 9. start:928 paragraphs:0, tables:0, lists:0
en 9.1. start:932 paragraphs:2, tables:0, lists:0
fr 9.1. start:930 paragraphs:2, tables:0, lists:0
en 9.2. start:938 paragraphs:3, tables:0, lists:0
fr 9.2. start:936 paragraphs:3, tables:0, lists:0
en 9.3. start:947 paragraphs:1, tables:0, lists:0
fr 9.3. start:945 paragraphs:1, tables:0, lists:0
en 9.4. start:951 paragraphs:1, tables:0, lists:0
fr 9.4. start:949 paragraphs:1, tables:0, lists:0
en 10. start:954 paragraphs:1, tables:0, lists:0
fr 10. start:952 paragraphs:1, tables:0, lists:0
en 10.1. start:958 paragraphs:3, tables:0, lists:0
fr 10.1. start:956 paragraphs:3, tables:0, lists:0
en 10.2. start:968 paragraphs:2, tables:0, lists:0
fr 10.2. start:966 paragraphs:2, tables:0, lists:0
en 10.3. start:975 paragraphs:1, tables:0, lists:0
fr 10.3. start:973 paragraphs:1, tables:0, lists:0
en 10.4. start:980 paragraphs:2, tables:0, lists:1
fr 10.4. start:978 paragraphs:2, tables:0, lists:1
en 10.5. start:993 paragraphs:2, tables:0, lists:0
fr 10.5. start:991 paragraphs:2, tables:0, lists:0
en 10.6. start:1000 paragraphs:2, tables:0, lists:0
fr 10.6. start:998 paragraphs:2, tables:0, lists:0
en 11. start:1006 paragraphs:1, tables:0, lists:0
fr 11. start:1004 paragraphs:1, tables:0, lists:0
en 11.1. start:1009 paragraphs:2, tables:1, lists:0
fr 11.1. start:1007 paragraphs:2, tables:1, lists:0
en 11.2. start:1029 paragraphs:2, tables:1, lists:0
fr 11.2. start:1027 paragraphs:2, tables:1, lists:0
en 11.3. start:1058 paragraphs:2, tables:1, lists:0
fr 11.3. start:1056 paragraphs:2, tables:1, lists:0
en 11.4. start:1082 paragraphs:2, tables:1, lists:0
fr 11.4. start:1080 paragraphs:2, tables:1, lists:0
en 11.5. start:1102 paragraphs:5, tables:2, lists:1
fr 11.5. start:1100 paragraphs:5, tables:2, lists:1
en 11.6. start:1133 paragraphs:2, tables:1, lists:0
fr 11.6. start:1131 paragraphs:2, tables:1, lists:0
en 11.7. start:1150 paragraphs:2, tables:1, lists:0
fr 11.7. start:1148 paragraphs:2, tables:1, lists:0
en 11.8. start:1167 paragraphs:2, tables:1, lists:0
fr 11.8. start:1165 paragraphs:2, tables:1, lists:0
en 11.9. start:1197 paragraphs:2, tables:1, lists:0
fr 11.9. start:1195 paragraphs:2, tables:1, lists:0
en 12. start:1214 paragraphs:0, tables:0, lists:0
fr 12. start:1212 paragraphs:0, tables:0, lists:0
en 12.1. start:1216 paragraphs:13, tables:0, lists:2
fr 12.1. start:1214 paragraphs:13, tables:0, lists:2
en 12.2. start:1281 paragraphs:2, tables:0, lists:0
fr 12.2. start:1279 paragraphs:2, tables:0, lists:0
en 13. start:1290 paragraphs:1, tables:0, lists:0
fr 13. start:1288 paragraphs:1, tables:0, lists:0
