# Structural comparison of pt_BR/userGuide.t2t against pt_BR/userGuide-newRevisions/12465/userGuide.t2t
en 3. start:69 paragraphs:6, tables:0, lists:0
pt_BR 3. start:67 paragraphs:6, tables:0, lists:0
en 3.1. start:88 paragraphs:1, tables:0, lists:1
pt_BR 3.1. start:85 paragraphs:1, tables:0, lists:0
en 3.2. start:96 paragraphs:2, tables:0, lists:0
pt_BR 3.2. start:93 paragraphs:3, tables:0, lists:0
en 3.2.1. start:106 paragraphs:1, tables:0, lists:0
pt_BR 3.2.1. start:104 paragraphs:1, tables:0, lists:0
en 3.2.2. start:110 paragraphs:1, tables:0, lists:0
pt_BR 3.2.2. start:108 paragraphs:1, tables:0, lists:0
en 3.2.3. start:114 paragraphs:1, tables:0, lists:0
pt_BR 3.2.3. start:112 paragraphs:1, tables:0, lists:0
en 3.3. start:119 paragraphs:2, tables:0, lists:0
pt_BR 3.3. start:117 paragraphs:3, tables:0, lists:0
en 4. start:131 paragraphs:0, tables:0, lists:0
pt_BR 4. start:130 paragraphs:0, tables:0, lists:0
en 4.1. start:133 paragraphs:5, tables:0, lists:0
pt_BR 4.1. start:132 paragraphs:5, tables:0, lists:0
en 4.2. start:154 paragraphs:0, tables:0, lists:0
pt_BR 4.2. start:153 paragraphs:0, tables:0, lists:0
en 4.2.1. start:156 paragraphs:3, tables:0, lists:0
pt_BR 4.2.1. start:155 paragraphs:4, tables:0, lists:0
en 4.3. start:173 paragraphs:1, tables:0, lists:0
pt_BR 4.3. start:174 paragraphs:1, tables:0, lists:0
en 4.3.1. start:178 paragraphs:1, tables:0, lists:0
pt_BR 4.3.1. start:179 paragraphs:1, tables:0, lists:0
en 4.3.2. start:183 paragraphs:7, tables:0, lists:0
pt_BR 4.3.2. start:184 paragraphs:4, tables:0, lists:0
en 4.3.3. start:206 paragraphs:2, tables:0, lists:0
pt_BR 4.3.3. start:204 paragraphs:2, tables:0, lists:0
en 4.4. start:217 paragraphs:2, tables:0, lists:0
pt_BR 4.4. start:215 paragraphs:2, tables:0, lists:0
en 4.5. start:225 paragraphs:2, tables:0, lists:0
pt_BR 4.5. start:223 paragraphs:2, tables:0, lists:0
en 4.6. start:233 paragraphs:0, tables:1, lists:0
pt_BR 4.6. start:231 paragraphs:0, tables:1, lists:0
en 4.7. start:246 paragraphs:0, tables:1, lists:0
pt_BR 4.7. start:244 paragraphs:0, tables:1, lists:0
en 5. start:254 paragraphs:1, tables:0, lists:0
pt_BR 5. start:252 paragraphs:1, tables:0, lists:0
en 5.1. start:257 paragraphs:1, tables:0, lists:0
pt_BR 5.1. start:255 paragraphs:1, tables:0, lists:0
en 5.2. start:261 paragraphs:3, tables:1, lists:0
pt_BR 5.2. start:259 paragraphs:3, tables:1, lists:0
en 5.3. start:277 paragraphs:4, tables:2, lists:0
pt_BR 5.3. start:275 paragraphs:3, tables:2, lists:0
en 5.4. start:302 paragraphs:7, tables:1, lists:0
pt_BR 5.4. start:299 paragraphs:8, tables:1, lists:0
en 5.5. start:344 paragraphs:6, tables:2, lists:0
pt_BR 5.5. start:338 paragraphs:6, tables:2, lists:0
en 5.6. start:386 paragraphs:2, tables:1, lists:0
pt_BR 5.6. start:380 paragraphs:2, tables:1, lists:0
en 5.6.1. start:397 paragraphs:1, tables:0, lists:0
pt_BR 5.6.1. start:392 paragraphs:1, tables:0, lists:0
en 5.6.2. start:402 paragraphs:3, tables:0, lists:0
pt_BR 5.6.2. start:397 paragraphs:3, tables:0, lists:0
en 5.6.3. start:411 paragraphs:3, tables:0, lists:0
pt_BR 5.6.3. start:406 paragraphs:4, tables:0, lists:0
en 5.7. start:420 paragraphs:5, tables:1, lists:0
pt_BR 5.7. start:416 paragraphs:5, tables:1, lists:0
en 6. start:445 paragraphs:3, tables:1, lists:0
pt_BR 6. start:441 paragraphs:4, tables:1, lists:0
en 6.1. start:475 paragraphs:4, tables:1, lists:1
pt_BR 6.1. start:471 paragraphs:5, tables:2, lists:1
en 6.2. start:516 paragraphs:1, tables:1, lists:0
en 6.3. start:527 paragraphs:1, tables:1, lists:0
pt_BR 6.3. start:523 paragraphs:1, tables:1, lists:0
en 7. start:538 paragraphs:3, tables:0, lists:1
pt_BR 7. start:534 paragraphs:3, tables:0, lists:1
en 7.1. start:552 paragraphs:5, tables:1, lists:1
pt_BR 7.1. start:548 paragraphs:5, tables:1, lists:1
en 8. start:574 paragraphs:1, tables:0, lists:0
pt_BR 8. start:570 paragraphs:1, tables:0, lists:0
