# Structural comparison of my/userGuide.t2t against my/userGuide-newRevisions/13067/userGuide.t2t
en 1.1. start:15 paragraphs:2, tables:0, lists:1
my 1.1. start:16 paragraphs:2, tables:0, lists:1
en 1.2. start:33 paragraphs:1, tables:0, lists:0
my 1.2. start:31 paragraphs:1, tables:0, lists:0
en 2. start:58 paragraphs:0, tables:0, lists:1
my 2. start:55 paragraphs:0, tables:0, lists:1
en 3. start:69 paragraphs:6, tables:0, lists:0
my 3. start:64 paragraphs:2, tables:0, lists:0
en 3.1. start:88 paragraphs:1, tables:0, lists:1
my 3.1. start:75 paragraphs:1, tables:0, lists:1
en 3.2. start:97 paragraphs:2, tables:0, lists:0
my 3.2. start:83 paragraphs:1, tables:0, lists:0
en 3.2.1. start:107 paragraphs:1, tables:0, lists:0
my 3.2.1. start:89 paragraphs:1, tables:0, lists:0
en 3.2.2. start:111 paragraphs:1, tables:0, lists:0
my 3.2.2. start:93 paragraphs:1, tables:0, lists:0
en 3.2.3. start:115 paragraphs:1, tables:0, lists:0
my 3.2.3. start:96 paragraphs:1, tables:0, lists:0
en 3.3. start:120 paragraphs:2, tables:0, lists:0
my 3.3. start:99 paragraphs:2, tables:0, lists:0
en 4. start:132 paragraphs:0, tables:0, lists:0
my 4. start:111 paragraphs:0, tables:0, lists:0
en 4.1. start:134 paragraphs:5, tables:0, lists:0
my 4.1. start:113 paragraphs:1, tables:0, lists:0
en 4.2. start:155 paragraphs:0, tables:0, lists:0
my 4.2. start:130 paragraphs:0, tables:0, lists:0
en 4.2.1. start:157 paragraphs:3, tables:0, lists:0
my 4.2.1. start:132 paragraphs:1, tables:0, lists:0
en 4.2.2. start:166 paragraphs:2, tables:0, lists:0
my 4.2.2. start:139 paragraphs:1, tables:0, lists:0
en 4.3. start:174 paragraphs:1, tables:0, lists:0
my 4.3. start:145 paragraphs:1, tables:0, lists:0
en 4.3.1. start:179 paragraphs:1, tables:0, lists:0
my 4.3.1. start:150 paragraphs:1, tables:0, lists:0
en 4.3.2. start:184 paragraphs:7, tables:0, lists:0
my 4.3.2. start:153 paragraphs:3, tables:0, lists:0
en 4.3.3. start:207 paragraphs:2, tables:0, lists:0
my 4.3.3. start:169 paragraphs:2, tables:0, lists:0
en 4.4. start:218 paragraphs:2, tables:0, lists:0
my 4.4. start:178 paragraphs:1, tables:0, lists:0
en 4.5. start:226 paragraphs:2, tables:0, lists:0
my 4.5. start:184 paragraphs:1, tables:0, lists:0
en 4.6. start:234 paragraphs:0, tables:1, lists:0
my 4.6. start:189 paragraphs:0, tables:1, lists:0
en 4.7. start:247 paragraphs:0, tables:1, lists:0
my 4.7. start:202 paragraphs:0, tables:1, lists:0
en 5. start:255 paragraphs:1, tables:0, lists:0
my 5. start:210 paragraphs:1, tables:0, lists:0
en 5.1. start:258 paragraphs:1, tables:0, lists:0
my 5.1. start:213 paragraphs:1, tables:0, lists:0
en 5.2. start:262 paragraphs:3, tables:1, lists:0
my 5.2. start:217 paragraphs:3, tables:1, lists:0
en 5.3. start:278 paragraphs:4, tables:2, lists:0
my 5.3. start:232 paragraphs:4, tables:2, lists:0
en 5.4. start:303 paragraphs:7, tables:1, lists:0
my 5.4. start:256 paragraphs:8, tables:1, lists:0
en 5.5. start:345 paragraphs:6, tables:2, lists:0
my 5.5. start:298 paragraphs:6, tables:2, lists:0
en 5.6. start:387 paragraphs:2, tables:1, lists:0
my 5.6. start:339 paragraphs:2, tables:1, lists:0
en 5.6.1. start:398 paragraphs:1, tables:0, lists:0
my 5.6.1. start:349 paragraphs:1, tables:0, lists:0
en 5.6.2. start:403 paragraphs:3, tables:0, lists:0
my 5.6.2. start:352 paragraphs:3, tables:0, lists:0
en 5.6.3. start:412 paragraphs:3, tables:0, lists:0
my 5.6.3. start:361 paragraphs:3, tables:0, lists:0
en 5.7. start:421 paragraphs:5, tables:1, lists:0
my 5.7. start:369 paragraphs:8, tables:2, lists:1
my 5.8. start:413 paragraphs:4, tables:1, lists:1
my 5.9. start:453 paragraphs:1, tables:1, lists:0
my 5.10. start:464 paragraphs:1, tables:1, lists:0
en 6. start:446 paragraphs:3, tables:1, lists:0
my 6. start:474 paragraphs:3, tables:0, lists:1
en 6.1. start:476 paragraphs:4, tables:1, lists:1
my 6.1. start:488 paragraphs:5, tables:1, lists:1
en 6.2. start:517 paragraphs:1, tables:1, lists:0
en 6.3. start:528 paragraphs:1, tables:1, lists:0
en 7. start:539 paragraphs:3, tables:0, lists:1
my 7. start:510 paragraphs:1, tables:0, lists:0
en 7.1. start:553 paragraphs:5, tables:1, lists:1
my 7.1. start:514 paragraphs:0, tables:0, lists:0
my 7.1.1. start:516 paragraphs:2, tables:1, lists:0
my 7.1.2. start:528 paragraphs:1, tables:0, lists:0
my 7.1.2.1. start:535 paragraphs:1, tables:0, lists:0
my 7.1.3. start:541 paragraphs:1, tables:0, lists:0
my 7.2. start:546 paragraphs:0, tables:0, lists:0
my 7.2.1. start:548 paragraphs:2, tables:1, lists:0
my 7.2.2. start:560 paragraphs:1, tables:0, lists:1
my 7.2.3. start:582 paragraphs:1, tables:0, lists:0
my 7.2.4. start:588 paragraphs:1, tables:0, lists:0
my 7.2.5. start:594 paragraphs:1, tables:0, lists:0
my 7.3. start:600 paragraphs:0, tables:1, lists:0
my 7.4. start:606 paragraphs:1, tables:1, lists:0
my 7.5. start:614 paragraphs:0, tables:1, lists:0
my 7.6. start:620 paragraphs:0, tables:1, lists:0
my 7.7. start:627 paragraphs:1, tables:1, lists:0
my 7.8. start:634 paragraphs:3, tables:0, lists:0
my 7.8.1. start:646 paragraphs:1, tables:0, lists:0
my 7.8.2. start:653 paragraphs:3, tables:0, lists:1
en 8. start:575 paragraphs:1, tables:0, lists:0
my 8. start:667 paragraphs:0, tables:0, lists:0
en 8.1. start:578 paragraphs:0, tables:0, lists:0
my 8.1. start:669 paragraphs:2, tables:0, lists:0
en 8.1.1. start:580 paragraphs:2, tables:1, lists:0
my 8.1.1. start:679 paragraphs:11, tables:0, lists:0
en 8.1.2. start:593 paragraphs:1, tables:0, lists:0
my 8.1.2. start:720 paragraphs:8, tables:0, lists:0
en 8.1.2.1. start:600 paragraphs:1, tables:0, lists:0
en 8.1.3. start:606 paragraphs:1, tables:0, lists:0
my 8.1.3. start:744 paragraphs:17, tables:0, lists:0
my 8.1.4. start:797 paragraphs:1, tables:1, lists:0
my 8.1.5. start:807 paragraphs:22, tables:0, lists:0
my 8.1.6. start:877 paragraphs:18, tables:0, lists:0
my 8.1.7. start:931 paragraphs:8, tables:0, lists:0
my 8.1.8. start:959 paragraphs:8, tables:0, lists:0
my 8.1.9. start:983 paragraphs:13, tables:0, lists:1
my 8.1.10. start:1029 paragraphs:8, tables:0, lists:0
my 8.1.11. start:1062 paragraphs:13, tables:0, lists:0
my 8.1.12. start:1104 paragraphs:8, tables:0, lists:2
my 8.1.13. start:1165 paragraphs:8, tables:0, lists:1
my 8.1.14. start:1197 paragraphs:6, tables:0, lists:1
my 8.1.15. start:1216 paragraphs:6, tables:0, lists:0
en 8.2. start:612 paragraphs:0, tables:0, lists:0
my 8.2. start:1233 paragraphs:3, tables:1, lists:0
en 8.2.1. start:614 paragraphs:2, tables:1, lists:0
en 8.2.2. start:627 paragraphs:1, tables:0, lists:1
en 8.2.3. start:649 paragraphs:1, tables:0, lists:0
en 8.2.4. start:655 paragraphs:1, tables:0, lists:0
en 8.2.5. start:661 paragraphs:1, tables:0, lists:0
en 8.3. start:667 paragraphs:0, tables:1, lists:0
my 8.3. start:1247 paragraphs:3, tables:0, lists:0
my 8.3.1. start:1256 paragraphs:4, tables:0, lists:1
my 8.3.2. start:1272 paragraphs:3, tables:0, lists:0
my 8.3.3. start:1281 paragraphs:1, tables:0, lists:0
my 8.3.4. start:1286 paragraphs:4, tables:0, lists:1
my 8.3.5. start:1298 paragraphs:2, tables:0, lists:0
my 8.3.6. start:1305 paragraphs:1, tables:0, lists:0
en 8.4. start:673 paragraphs:1, tables:1, lists:0
my 8.4. start:1309 paragraphs:3, tables:0, lists:0
en 8.5. start:681 paragraphs:0, tables:1, lists:0
en 8.6. start:687 paragraphs:0, tables:1, lists:0
en 8.7. start:694 paragraphs:1, tables:1, lists:0
en 8.8. start:701 paragraphs:3, tables:0, lists:0
en 8.8.1. start:715 paragraphs:1, tables:0, lists:0
en 8.8.2. start:723 paragraphs:3, tables:0, lists:1
en 9. start:737 paragraphs:0, tables:0, lists:0
my 9. start:1316 paragraphs:0, tables:0, lists:0
en 9.1. start:739 paragraphs:2, tables:0, lists:0
my 9.1. start:1318 paragraphs:2, tables:0, lists:0
en 9.1.1. start:749 paragraphs:11, tables:0, lists:0
en 9.1.2. start:795 paragraphs:8, tables:0, lists:1
en 9.1.3. start:824 paragraphs:18, tables:0, lists:0
en 9.1.4. start:899 paragraphs:1, tables:1, lists:0
en 9.1.5. start:909 paragraphs:23, tables:0, lists:0
en 9.1.6. start:995 paragraphs:18, tables:0, lists:0
en 9.1.7. start:1055 paragraphs:8, tables:0, lists:0
en 9.1.8. start:1085 paragraphs:8, tables:0, lists:0
en 9.1.9. start:1109 paragraphs:14, tables:0, lists:1
en 9.1.10. start:1159 paragraphs:6, tables:0, lists:0
en 9.1.11. start:1190 paragraphs:13, tables:0, lists:0
en 9.1.12. start:1236 paragraphs:8, tables:0, lists:2
en 9.1.13. start:1298 paragraphs:8, tables:0, lists:1
en 9.1.14. start:1332 paragraphs:6, tables:0, lists:1
en 9.1.15. start:1361 paragraphs:6, tables:0, lists:0
en 9.2. start:1381 paragraphs:3, tables:1, lists:0
my 9.2. start:1323 paragraphs:5, tables:0, lists:0
en 9.3. start:1396 paragraphs:3, tables:0, lists:0
my 9.3. start:1334 paragraphs:10, tables:0, lists:0
en 9.3.1. start:1407 paragraphs:4, tables:0, lists:1
en 9.3.2. start:1423 paragraphs:3, tables:0, lists:0
en 9.3.3. start:1435 paragraphs:1, tables:0, lists:0
en 9.3.4. start:1443 paragraphs:4, tables:0, lists:1
en 9.3.5. start:1456 paragraphs:2, tables:0, lists:0
en 9.3.6. start:1464 paragraphs:1, tables:0, lists:0
en 9.4. start:1469 paragraphs:3, tables:0, lists:0
my 9.4. start:1368 paragraphs:1, tables:0, lists:0
my 9.5. start:1372 paragraphs:1, tables:0, lists:0
en 10. start:1480 paragraphs:0, tables:0, lists:0
my 10. start:1375 paragraphs:1, tables:0, lists:0
en 10.1. start:1482 paragraphs:2, tables:0, lists:0
my 10.1. start:1378 paragraphs:3, tables:0, lists:0
en 10.2. start:1488 paragraphs:5, tables:0, lists:0
my 10.2. start:1386 paragraphs:2, tables:0, lists:0
en 10.3. start:1503 paragraphs:10, tables:0, lists:0
my 10.3. start:1393 paragraphs:1, tables:0, lists:0
en 10.4. start:1545 paragraphs:1, tables:0, lists:0
my 10.4. start:1398 paragraphs:2, tables:0, lists:1
en 10.5. start:1549 paragraphs:1, tables:0, lists:0
my 10.5. start:1409 paragraphs:2, tables:0, lists:0
my 10.6. start:1415 paragraphs:2, tables:0, lists:0
en 11. start:1552 paragraphs:1, tables:0, lists:0
my 11. start:1423 paragraphs:1, tables:0, lists:0
en 11.1. start:1556 paragraphs:3, tables:0, lists:0
my 11.1. start:1426 paragraphs:5, tables:3, lists:0
en 11.2. start:1566 paragraphs:2, tables:0, lists:0
my 11.2. start:1486 paragraphs:3, tables:1, lists:0
en 11.3. start:1573 paragraphs:1, tables:0, lists:0
my 11.3. start:1530 paragraphs:3, tables:1, lists:0
en 11.4. start:1578 paragraphs:2, tables:0, lists:1
my 11.4. start:1556 paragraphs:2, tables:1, lists:0
en 11.5. start:1591 paragraphs:2, tables:0, lists:0
my 11.5. start:1576 paragraphs:6, tables:2, lists:1
en 11.6. start:1598 paragraphs:2, tables:0, lists:0
my 11.6. start:1609 paragraphs:2, tables:1, lists:0
my 11.7. start:1626 paragraphs:2, tables:1, lists:0
my 11.8. start:1643 paragraphs:2, tables:1, lists:0
my 11.9. start:1674 paragraphs:2, tables:1, lists:0
my 11.10. start:1735 paragraphs:2, tables:1, lists:0
my 11.11. start:1748 paragraphs:2, tables:1, lists:0
my 11.12. start:1770 paragraphs:7, tables:3, lists:2
my 11.13. start:1842 paragraphs:7, tables:4, lists:1
my 11.14. start:1920 paragraphs:4, tables:1, lists:1
my 11.15. start:1968 paragraphs:3, tables:1, lists:1
my 11.16. start:2003 paragraphs:3, tables:1, lists:0
en 12. start:1606 paragraphs:1, tables:0, lists:0
my 12. start:2024 paragraphs:2, tables:2, lists:0
en 12.1. start:1609 paragraphs:5, tables:3, lists:0
en 12.2. start:1670 paragraphs:3, tables:1, lists:0
en 12.3. start:1714 paragraphs:3, tables:1, lists:0
en 12.4. start:1740 paragraphs:2, tables:1, lists:0
en 12.5. start:1760 paragraphs:6, tables:2, lists:1
en 12.6. start:1796 paragraphs:2, tables:1, lists:0
en 12.7. start:1813 paragraphs:2, tables:1, lists:0
en 12.8. start:1830 paragraphs:2, tables:1, lists:0
en 12.9. start:1861 paragraphs:2, tables:1, lists:0
en 12.10. start:1922 paragraphs:2, tables:1, lists:0
en 12.11. start:1935 paragraphs:2, tables:1, lists:0
en 12.12. start:1957 paragraphs:8, tables:3, lists:2
en 12.13. start:2040 paragraphs:8, tables:4, lists:1
en 12.14. start:2123 paragraphs:4, tables:1, lists:1
en 12.15. start:2171 paragraphs:3, tables:1, lists:1
en 12.16. start:2206 paragraphs:3, tables:1, lists:0
en 13. start:2226 paragraphs:2, tables:2, lists:0
my 13. start:2061 paragraphs:0, tables:0, lists:0
my 13.1. start:2063 paragraphs:5, tables:3, lists:0
en 14. start:2263 paragraphs:0, tables:0, lists:0
my 14. start:2097 paragraphs:1, tables:0, lists:0
en 14.1. start:2265 paragraphs:6, tables:3, lists:0
en 15. start:2305 paragraphs:1, tables:0, lists:0
# end of comparison
