# Structural comparison of de/userGuide.t2t against de/userGuide-newRevisions/14573/userGuide.t2t
en 11. start:906 paragraphs:0, tables:0, lists:0
de 11. start:906 paragraphs:1, tables:0, lists:0
en 11.1. start:908 paragraphs:2, tables:0, lists:0
de 11.1. start:914 paragraphs:3, tables:0, lists:0
en 11.1.1. start:918 paragraphs:11, tables:0, lists:0
de 11.1.1. start:929 paragraphs:12, tables:0, lists:0
en 11.1.2. start:964 paragraphs:8, tables:0, lists:1
de 11.1.2. start:979 paragraphs:19, tables:0, lists:0
en 11.1.3. start:993 paragraphs:18, tables:0, lists:0
de 11.1.3. start:1059 paragraphs:8, tables:0, lists:1
en 11.1.4. start:1068 paragraphs:1, tables:1, lists:0
de 11.1.4. start:1088 paragraphs:1, tables:1, lists:0
en 11.1.5. start:1078 paragraphs:30, tables:0, lists:0
de 11.1.5. start:1098 paragraphs:24, tables:0, lists:0
en 11.1.6. start:1199 paragraphs:18, tables:0, lists:0
de 11.1.6. start:1204 paragraphs:8, tables:0, lists:0
en 11.1.7. start:1259 paragraphs:8, tables:0, lists:0
de 11.1.7. start:1230 paragraphs:18, tables:0, lists:0
en 11.1.8. start:1289 paragraphs:2, tables:0, lists:0
de 11.1.8. start:1290 paragraphs:8, tables:0, lists:0
en 11.1.9. start:1297 paragraphs:8, tables:0, lists:0
de 11.1.9. start:1319 paragraphs:2, tables:0, lists:0
en 11.1.10. start:1321 paragraphs:15, tables:0, lists:1
de 11.1.10. start:1328 paragraphs:8, tables:0, lists:0
en 11.1.11. start:1378 paragraphs:6, tables:0, lists:0
de 11.1.11. start:1352 paragraphs:15, tables:0, lists:1
en 11.1.12. start:1409 paragraphs:14, tables:0, lists:0
de 11.1.12. start:1409 paragraphs:19, tables:0, lists:0
en 11.1.13. start:1457 paragraphs:8, tables:0, lists:2
de 11.1.13. start:1486 paragraphs:7, tables:0, lists:2
en 11.1.14. start:1520 paragraphs:2, tables:0, lists:0
de 11.1.14. start:1546 paragraphs:2, tables:0, lists:0
en 11.1.15. start:1526 paragraphs:8, tables:0, lists:1
en 11.1.16. start:1560 paragraphs:6, tables:0, lists:1
en 11.1.17. start:1589 paragraphs:6, tables:0, lists:0
de 11.2. start:1553 paragraphs:1, tables:0, lists:0
en 11.2. start:1609 paragraphs:3, tables:1, lists:0
de 11.2.1. start:1556 paragraphs:8, tables:0, lists:1
de 11.2.2. start:1590 paragraphs:6, tables:0, lists:1
de 11.2.3. start:1619 paragraphs:6, tables:0, lists:0
en 11.3. start:1624 paragraphs:3, tables:0, lists:0
de 11.3. start:1639 paragraphs:3, tables:1, lists:0
en 11.3.1. start:1635 paragraphs:4, tables:0, lists:1
en 11.3.2. start:1651 paragraphs:3, tables:0, lists:0
en 11.3.3. start:1663 paragraphs:1, tables:0, lists:0
en 11.3.4. start:1671 paragraphs:4, tables:0, lists:1
en 11.3.5. start:1684 paragraphs:2, tables:0, lists:0
en 11.3.6. start:1692 paragraphs:1, tables:0, lists:0
de 11.4. start:1654 paragraphs:3, tables:0, lists:0
en 11.4. start:1697 paragraphs:3, tables:0, lists:0
de 11.4.1. start:1665 paragraphs:4, tables:0, lists:1
de 11.4.2. start:1681 paragraphs:3, tables:0, lists:0
de 11.4.3. start:1693 paragraphs:1, tables:0, lists:0
de 11.4.4. start:1701 paragraphs:4, tables:0, lists:1
de 11.4.5. start:1714 paragraphs:2, tables:0, lists:0
de 11.4.6. start:1722 paragraphs:2, tables:0, lists:0
de 11.5. start:1729 paragraphs:3, tables:0, lists:0
en 12. start:1708 paragraphs:0, tables:0, lists:0
de 12. start:1740 paragraphs:0, tables:0, lists:0
en 12.1. start:1710 paragraphs:2, tables:0, lists:0
de 12.1. start:1742 paragraphs:2, tables:0, lists:0
en 12.2. start:1716 paragraphs:5, tables:0, lists:0
de 12.2. start:1748 paragraphs:5, tables:0, lists:0
en 12.3. start:1731 paragraphs:10, tables:0, lists:0
de 12.3. start:1763 paragraphs:10, tables:0, lists:0
en 12.4. start:1774 paragraphs:1, tables:0, lists:0
de 12.4. start:1806 paragraphs:1, tables:0, lists:0
en 12.5. start:1778 paragraphs:1, tables:0, lists:0
de 12.5. start:1810 paragraphs:1, tables:0, lists:0
en 13. start:1781 paragraphs:1, tables:0, lists:0
de 13. start:1813 paragraphs:1, tables:0, lists:0
en 13.1. start:1785 paragraphs:3, tables:0, lists:0
de 13.1. start:1817 paragraphs:3, tables:0, lists:0
en 13.2. start:1795 paragraphs:2, tables:0, lists:0
de 13.2. start:1827 paragraphs:2, tables:0, lists:0
en 13.3. start:1802 paragraphs:1, tables:0, lists:0
de 13.3. start:1834 paragraphs:1, tables:0, lists:0
en 13.4. start:1807 paragraphs:2, tables:0, lists:1
de 13.4. start:1839 paragraphs:2, tables:0, lists:1
en 13.5. start:1820 paragraphs:3, tables:0, lists:0
de 13.5. start:1852 paragraphs:3, tables:0, lists:0
en 13.6. start:1831 paragraphs:2, tables:0, lists:0
de 13.6. start:1863 paragraphs:2, tables:0, lists:0
en 14. start:1838 paragraphs:1, tables:0, lists:0
de 14. start:1870 paragraphs:1, tables:0, lists:0
en 14.1. start:1841 paragraphs:5, tables:3, lists:0
de 14.1. start:1873 paragraphs:5, tables:3, lists:0
en 14.2. start:1900 paragraphs:4, tables:1, lists:0
de 14.2. start:1932 paragraphs:4, tables:1, lists:0
en 14.3. start:1953 paragraphs:3, tables:1, lists:1
de 14.3. start:1985 paragraphs:3, tables:1, lists:1
en 14.4. start:1987 paragraphs:2, tables:1, lists:0
de 14.4. start:2019 paragraphs:2, tables:1, lists:0
en 14.5. start:2007 paragraphs:6, tables:2, lists:1
de 14.5. start:2039 paragraphs:6, tables:2, lists:1
en 14.6. start:2043 paragraphs:2, tables:1, lists:0
de 14.6. start:2075 paragraphs:2, tables:1, lists:0
en 14.7. start:2060 paragraphs:2, tables:1, lists:0
de 14.7. start:2092 paragraphs:2, tables:1, lists:0
en 14.8. start:2077 paragraphs:3, tables:0, lists:0
de 14.8. start:2109 paragraphs:3, tables:0, lists:0
en 14.8.1. start:2086 paragraphs:0, tables:1, lists:0
de 14.8.1. start:2118 paragraphs:0, tables:1, lists:0
en 14.8.2. start:2111 paragraphs:0, tables:1, lists:0
de 14.8.2. start:2143 paragraphs:0, tables:1, lists:0
en 14.8.3. start:2119 paragraphs:0, tables:1, lists:0
de 14.8.3. start:2151 paragraphs:0, tables:1, lists:0
en 14.9. start:2129 paragraphs:2, tables:1, lists:0
de 14.9. start:2161 paragraphs:2, tables:1, lists:0
en 14.10. start:2201 paragraphs:2, tables:1, lists:0
de 14.10. start:2233 paragraphs:2, tables:1, lists:0
en 14.11. start:2223 paragraphs:8, tables:3, lists:2
de 14.11. start:2255 paragraphs:8, tables:3, lists:2
en 14.12. start:2304 paragraphs:8, tables:4, lists:1
de 14.12. start:2336 paragraphs:8, tables:4, lists:1
en 14.13. start:2387 paragraphs:5, tables:1, lists:1
de 14.13. start:2419 paragraphs:5, tables:1, lists:1
en 14.14. start:2437 paragraphs:3, tables:1, lists:1
de 14.14. start:2469 paragraphs:3, tables:1, lists:1
en 14.15. start:2472 paragraphs:1, tables:1, lists:0
de 14.15. start:2504 paragraphs:1, tables:1, lists:0
en 14.16. start:2482 paragraphs:3, tables:1, lists:0
de 14.16. start:2514 paragraphs:3, tables:1, lists:0
en 14.17. start:2563 paragraphs:3, tables:1, lists:0
de 14.17. start:2598 paragraphs:3, tables:1, lists:0
en 15. start:2583 paragraphs:0, tables:0, lists:0
de 15. start:2618 paragraphs:0, tables:0, lists:0
en 15.1. start:2585 paragraphs:6, tables:3, lists:0
de 15.1. start:2620 paragraphs:6, tables:3, lists:0
en 15.2. start:2629 paragraphs:2, tables:1, lists:1
de 15.2. start:2664 paragraphs:2, tables:1, lists:1
en 16. start:2641 paragraphs:1, tables:0, lists:0
de 16. start:2676 paragraphs:1, tables:0, lists:0
de 17. start:2681 paragraphs:0, tables:0, lists:0
de 17.1. start:2683 paragraphs:1, tables:0, lists:1
de 17.1.1. start:2691 paragraphs:2, tables:0, lists:0
de 17.1.2. start:2700 paragraphs:2, tables:0, lists:1
de 17.2. start:2711 paragraphs:7, tables:0, lists:2
de 17.2.1. start:2742 paragraphs:1, tables:0, lists:1
# end of comparison
